rank,name,sr-score,description,round,amount,recent_funding_date_timestamp_dt
2,Giphy,"91,822",Search and make GIFs - Animated GIF search. The first and largest GIF sea ...,Series D,72000000.0,2016-10-31
3,Buffer,"91,361",A Smarter Way to Share on Social Media - Buffer is the easiest way to share the great links ...,Series A,3500000.0,2014-10-27
6,PicsArt,"90,695",PicsArt is a leading image editing app and creative community. - It is the most popular free mobile photo editor wi ...,Series B,20000000.0,2016-04-20
8,Coursera,"90,391",Free Online Courses From Top Universities - Coursera - We are a social entrepreneurship compan ...,Series D,64000000.0,2017-06-07
9,IFTTT,"90,168",Do more with the services you love - IFTTT (if this then that) puts the internet to wor ...,Series B,30000000.0,2014-08-29
10,Skillshare,"90,102",A learning community for creators - Skillshare is a global community where you can lea ...,Series B,12000000.0,2016-05-26
16,DoorDash,"89,021",DoorDash enables small businesses to provide its customers with local delivery services. - DoorDash - Delightful food delivery in San Francis ...,Series C,127000000.0,2016-03-22
18,Teachable,"88,937","Create and sell beautiful online courses - Teachable is a multi-tenant, unbranded online cour ...",Series A,4000000.0,2017-01-25
21,Zapier,"88,237",All-in-one web application integrations - Zapier lets you create integrations between the bu ...,Seed,1300000.0,2012-10-31
22,Letterboxd,"88,182","Your life in film. - Letterboxd - Keep a diary of the films you watch, ...",Seed,10247296.46,2015-04-01
25,Bigfish,"87,723","Big Fish Games is an online shop selling downloadable games for PC and mobile platforms. - Big Fish Games, the world leader in downloadable g ...",Seed,10247296.46,2015-04-01
27,Treehouse,"87,415",Start Learning for Free - Treehouse aims to be the best way to learn web des ...,Venture,16000000.0,2015-08-06
29,Ahrefs,"87,385",Tools to grow your search traffic - Ahrefs is trusted by SEOs and marketing profession ...,Seed,10247296.46,2015-04-01
31,YouNow,"87,329",Democratizing Fame - YouNow is a place where you can discover awesome p ...,Series B,15000000.0,2015-09-05
33,HackerRank,"87,207",HackerRank is a skills-based tech hiring platform. - HackerRank - A social platform for programmers to ...,Venture,10247296.46,2016-09-09
36,Instacart,"87,152",Instacart is a same-day grocery delivery company delivering groceries and home essentials from a variety of local stores. - Instacart is a same-day grocery delivery service. ...,Series D,400000000.0,2017-03-07
42,Instapage,"86,493",The Most Powerful Landing Page Solution for Marketing Teams & Agencies. - Instapage lets marketers build and A/B test landin ...,Seed,1000000.0,2016-10-01
52,Teespring,"85,718",Find something made for you - Teespring is a platform that makes it easy for any ...,Series A,5000000.0,2017-06-22
57,Knoji,"85,480",Honest reviews from consumers like you - Consumers are losing trust in online reviews on si ...,Seed,10247296.46,2015-04-01
58,Help Scout,"85,410",Simple Customer Service Software and Education - Help Scout enables teams to share an email inbox s ...,Series B,6180147.0,2017-02-07
68,The Muse,"85,023","Search Jobs, Career Advice and Company Profiles - The Muse is a career platform that helps people fi ...",Series B,16000000.0,2016-06-22
69,Branch Metrics,"84,994",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands. - Branch provides a universal deep link that works a ...,Seed,10247296.46,2015-04-01
73,Segment,"84,966",The last API integration you'll ever need. - Segment is the customer data platform that develop ...,Series C,64000000.0,2017-07-13
74,PushBullet,"84,938","Pushbullet enables its users to see calls and texts on their computers and easily send links and files from their computers to phones. - PushBullet makes it easy to instantly push files, ...",Seed,1500000.0,2015-01-27
80,HotelTonight,"84,757",Same-day mobile hotel bookings - HotelTonight - Plans change; HotelTonight can help ...,Series E,37000000.0,2017-03-22
84,OneSignal,"84,575",OneSignal is a complete push notification solution for mobile apps. - OneSignal is a completely free multi-platform push ...,Series A,7000000.0,2017-08-15
86,BrowserStack,"84,336",Cross-browser testing without the headache (+invites!) - BrowserStack provides complete range of browsers f ...,Seed,10247296.46,2015-04-01
88,FlipSnack,"84,289",Digital flipbook maker for stunning magazines - FlipSnack is everything people need to easily publ ...,Seed,10247296.46,2015-04-01
91,tawk.to,"84,229",A free live chat app that lets you monitor and chat with website visitors. - tawk.to is a free live chat app that lets you moni ...,Seed,2000000.0,2011-01-01
95,Hubstaff,"84,116",Time tracking and productivity monitoring tool - Hubstaff time tracking software helps remote manag ...,Seed,10247296.46,2015-04-01
99,Roadtrippers,"84,048",Mapquest meets Yelp for Travel & Tourism - Roadtrippers - Our simple and engaging map based i ...,Venture,7395582.0,2017-06-02
104,Sezzle,"83,851",Get Rewarded for making payments from your checkin - Sezzle solves the problems online merchants face w ...,Seed,1850000.0,2016-10-05
105,Startup Book Club,"83,841",The First Un-Booked Monthly Book Box Club! - A new kind of book box subscription designed speci ...,Seed,10247296.46,2015-04-01
106,RebelMouse,"83,808",Your social front page - RebelMouse uses your social networks to dynamicall ...,Series A,6000000.0,2015-04-06
110,Tailor Brands,"83,630","Logo Design, Simplified - Tailor is an algorithm that makes branding afforda ...",Unknown,4000000.0,2016-11-07
117,15Five,"83,399","15Five is a performance management platform that combines employee feedback, objectives (OKRs), pulse surveys, and peer recognition. - 15Five - We are driven by a cause to get people ta ...",Seed,2200000.0,2014-10-02
122,Breezy HR,"83,288",Modern your recruiting process - Recruiting software for small teams doing big thin ...,Series B,1666567.0,2016-05-20
125,beBee,"83,089",Successful Personal Branding - The all-in-one platform for building a successful ...,Venture,6000000.0,2015-11-24
126,Readymag,"83,071","Create & discover digital magazines. - Readymag is the most elegant, simple & powerful pu ...",Seed,500000.0,2015-04-01
129,TravelTriangle,"83,068",TravelTriangle enables travel enthusiasts to reserve a personalized holiday plan with a local travel agent. - TravelTriangle.com is a marketplace for the travel ...,Series B,10000000.0,2017-02-07
130,SocialPilot,"83,058","SocialPilot manages social media, schedule social media posts, improve engagement, and analyze results. - SocialPilot - Easily Schedule Posts Across Multipl ...",Seed,10247296.46,2015-04-01
135,Flywheel,"82,955",Elegant WordPress hosting & management built for designers. - Flywheel is a premium WordPress hosting and manage ...,Series A,4000000.0,2016-04-05
136,Bizzabo,"82,944",Unleash The Power Of Events - Bizzabo is the only Event Success Platform. Bizzab ...,Series A,6500000.0,2017-04-04
