,market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
0,"'marketing', 'productivity', 'social networks', 'startups'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,Low company activity detected,21 Jan 21,72600.0,30.5,'SocialMeep',Post,"'b2c', 'b2b', 'freemium', 'subscription'",184,Undisclosed,https://socialmeep.com?ref=startuptracker,'SocialMeep builds automatic growth and marketing tools for Instagram.','SocialMeep',March 3 2018,New York US,https://www.crunchbase.com/organization/socialmeep,66100
1,"'design', 'education', 'software dev'",'web app',Publicly,High company activity detected,15 Jan 21,18900.0,4.0,'DesignerUp',Pre,"'b2c', 'free to use', 'sales'",590,Undisclosed,http://DesignerUp.co?ref=startuptracker,'An ecosystem of UI/UX and product design resources to help you become a more mindful designer and create better products.','DesignerUp',October 21 2018,San Francisco US,https://angel.co/company,252000
2,"'advertising', 'marketing', 'startups', 'content'",'web app',Publicly,High company activity detected,14 Jan 21,1700.0,4.0,"'strategynode', 'Tyler J. Fox'",Pre,"'b2c', 'b2b', 'free to use'",7,Undisclosed,https://katang.io/?t_pid=2?ref=startuptracker,"'KaTang is an end-to-end content marketing platform that facilitates co-branded content curation and distribution, all for free.'",'KaTang',November 1 2019,Lehi US,https://www.crunchbase.com/organization/katang,2700000
3,"'advertising', 'e commerce', 'media', 'content'","'mobile app', 'web app'",Publicly,High company activity detected,30 Dec 20,5000.0,7.5,"'Rad Padre', 'Freedom TV+'",Pre,"'b2c', 'free to use', 'commission', 'affiliation'",11,Undisclosed,https://www.freedomrains.com/?ac=218B21?ref=startuptracker,"'Shopping assistant browser extension that provides coupons, price tracks and helps users shop sustainably.'","'Above & Beyond Studios, Inc.'",June 26 2019,Boston US,https://producthunt.com/posts/freedom-super-saver-shopping-assistant,945700
4,"'security', 'blockchain'",'mobile app',Publicly,No recent company activity detected,29 Dec 20,957.0,7.5,'VyrocApp',Post,"'b2c', 'free to use', 'advertising', 'subscription'",17,Undisclosed,http://vyrocapp.com?ref=startuptracker,"'Private Search Engine, Powered by the Blockchain'",'Vyroc',January 1 2020,New York US,https://www.crunchbase.com/organization/vyroc,4800000
5,"'communication', 'marketing', 'startups', 'sales'","'service', 'web app'",Privately,High company activity detected,5 Dec 20,2800.0,30.5,'Chris Beaman',Post,"'b2b', 'freemium', 'sales', 'subscription'",29,Self,https://www.astronomic.com?ref=startuptracker,'We connect founders and help them grow','Astronomic',June 1 2020,Austin US,https://startuptracker.io,1700000
6,"'data', 'productivity', 'startups', 'content'","'other', 'desktop app', 'mobile app', 'web app'",Pre,High company activity detected,3 Dec 20,2100.0,7.5,'Snipply',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",110,Undisclosed,http://www.snipply.io?ref=startuptracker,"'Snipply connects the content inside the apps you already use like G Suite and Microsoft® Office, allowing you to keep everything in sync.'",'Snipply',June 1 2019,New York US,https://startuptracker.io,2200000
7,"'analytics', 'manufacturing', 'productivity', 'software dev'","'desktop app', 'web app'",Privately,High company activity detected,25 Nov 20,8300.0,30.5,'Angshuman Guha',Pre,"'b2b', 'affiliation', 'freemium', 'sales'",92,Undisclosed,https://bipp.io/?ref=startuptracker,"'bipp is an enterprise-grade, cloud business intelligence platform. We help data analysts create faster queries & deliver sharper insights.'",'bipp Analytics',July 15 2017,Plano US,https://www.crunchbase.com/organization/bipp-analytics,566200
8,"'productivity', 'accounting and legal', 'ai', 'sales'","'desktop app', 'mobile app', 'web app'",Privately,High company activity detected,23 Nov 20,0.0,4.0,'agreemint',Pre,"'b2c', 'b2b', 'freemium', 'sales', 'subscription'",31,Undisclosed,https://www.agreemint.com?ref=startuptracker,'Through the Agreemint Contract AI users engage in a contract workflow that delights everyone - legal or non-legal.','Agreemint',February 10 2018,San francisco US,https://www.crunchbase.com/organization/agreemint,0
9,'software dev',"'mobile app', 'web app'",Publicly,High company activity detected,11 Nov 20,4600.0,7.5,'Shake SDK',Pre,"'b2b', 'freemium'",16,Undisclosed,https://www.shakebugs.com/?ref=startuptracker,'Bug reporting tool for mobile apps.','Shake',September 30 2019,Newark US,https://www.crunchbase.com/organization/shake-2266,1000000
10,"'data', 'design', 'education', 'productivity'","'service', 'web app'",Publicly,No recent company activity detected,20 Oct 20,4000.0,7.5,'Deskle',Pre,"'b2c', 'b2b', 'subscription'",14,Undisclosed,https://deskle.com?ref=startuptracker,'Online whiteboard - a tool for remote collaboration and distance learning','Deskle',January 13 2016,Wilmington US,https://crunchbase.com/organization/deskle-2,1200000
11,"'advertising', 'marketing'",'desktop app',Publicly,Low company activity detected,20 Oct 20,4400.0,3.0,"'Shannon S', 'PayLoadz'",Pre,"'b2b', 'free to use', 'subscription'",5,Undisclosed,https://adoptics.com?ref=startuptracker,'Automated Ad A/B testing for Google Ads','AdOptics',September 1 2020,Philadelphia US,https://www.crunchbase.com/organization/adoptics-c174,1100000
12,"'communication', 'medical'",'mobile app',Publicly,High company activity detected,20 Oct 20,1800.0,7.5,'Mooditude App',Pre,"'b2c', 'freemium'",1000,Undisclosed,https://www.mooditude.app/?ref=startuptracker,"'Mooditude is a practical, modern-day solution for your mental health and well-being.'",'Mooditude',May 1 2019,Santa Monica US,https://producthunt.com/posts/mooditude,2600000
13,"'marketing', 'startups'",'web app',Privately,Sourced by Startup Tracker,16 Oct 20,648.0,7.5,'Watch Tower',Pre,"'b2b', 'subscription'",2,Self,https://watchtowerhq.co?ref=startuptracker,'We help agency operators streamline and gain additional insights into their websites.','WatchTowerHQ',March 1 2020,Boston US,https://www.crunchbase.com/organization/watchtowerhq,7100000
14,"'communication', 'productivity', 'security'","'mobile app', 'web app'",Publicly,Low company activity detected,16 Oct 20,2200.0,1.0,'nullbox',Pre,"'b2c', 'subscription'",2100000,Self,https://nullbox.co?ref=startuptracker,'NullBox is an email privacy service that protects the privacy of your inbox with disposable email addresses.','NullBox',April 9 2020,Raleigh US,https://startuptracker.io,2100000
15,"'advertising', 'design', 'marketing'",'web app',Publicly,High company activity detected,13 Oct 20,4100.0,7.5,'Email2Go',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",33,Undisclosed,https://email2go.io?ref=startuptracker,'HTML email builder and preview tool','Email2Go',January 15 2020,New York US,https://producthunt.com/posts/email2go,1100000
16,"'education', 'productivity', 'startups'","'mobile app', 'service'",Privately,Low company activity detected,12 Oct 20,678.0,7.5,"'Nishant', 'DigsFact', 'DigsFact LLC'",Post,"'b2c', 'b2g', 'commission'",27,Undisclosed,https://kNEEBU.com?ref=startuptracker,'kNEEBU brings in person and remote services to your doorsteps. Beta release scheduled in October 2020.','kNEEBU',September 27 2018,Chicago US,https://www.crunchbase.com/organization/kneebu-llc,6800000
17,"'analytics', 'marketing', 'social networks', 'ai'","'mobile app', 'web app'",Publicly,Low company activity detected,6 Oct 20,1000.0,7.5,'Smartbate',Pre,"'b2c', 'subscription'",4,Undisclosed,https://smartbate.com?ref=startuptracker,'Smartbate is a platform for users to vote and create polls on issues that matter to them.','Smartbate',May 31 2020,San Francisco US,https://www.crunchbase.com/organization/smartbate,4600000
18,"'startups', 'bots', 'messaging', 'sales'",'web app',Publicly,High company activity detected,26 Sep 20,3000.0,2.0,'Ryan Hitchler',Pre,"'b2b', 'subscription'",57,Undisclosed,https://www.centro.rocks/#startuptracker?ref=startuptracker,'Centro is a shared inbox and Salesforce connector for revenue teams to thrive in Slack','Centro',February 20 2020,Boulder US,https://crunchbase.com/organization/centro-b1a7,1500000
19,"'advertising', 'analytics', 'marketing', 'hr and recruitment'",'web app',Publicly,No recent company activity detected,24 Sep 20,0.0,30.5,'tribe',Pre,"'free to use', 'advertising', 'freemium', 'subscription'",37,Undisclosed,http://www.workwithtribe.com?ref=startuptracker,"""TRIBE is a global platform that matches businesses to the world's top digital marketing talent, teams, and tools.""",'TRIBE',January 1 2020,Washington DC US,https://crunchbase.com/organization/tribe-25da,0
20,'travel',"'mobile app', 'web app'",Privately,Low company activity detected,22 Sep 20,2800.0,4.0,'Malcolm Woods',Pre,"'b2c', 'b2b', 'commission', 'subscription'",23,Undisclosed,http://fareupthere.com/?ref=startuptracker,'FareUpThere is airline passenger insights company that rewards passengers for sharing their feedback on flights.','FareUpThere',February 22 2020,Houston US,https://www.crunchbase.com/organization/fareupthere,1700000
21,"'marketing', 'social networks', 'startups', 'content'","'other', 'service'",Publicly,High company activity detected,13 Sep 20,5600.0,1.0,'Bryan Grey',Pre,"'b2b', 'advertising', 'affiliation'",34,Undisclosed,https://www.officialbryangrey.com?ref=startuptracker,'Bryan Grey provides blog monetization tips for beginner bloggers who wish to grow their blogs and make money online.','Bryan Grey',September 4 2018,Illinois US,https://crunchbase.com/organization/officialbryangrey,835100
22,"'automotive', 'marketing', 'sales', 'real estate'","'mobile app', 'web app'",Publicly,Sourced by Startup Tracker,17 Aug 20,6500.0,7.5,'GoCRM',Post,"'b2b', 'subscription'",6,Undisclosed,https://gocrm.io/?ref=startuptracker,'CRM solution that takes on a full-funnel sales and marketing approach.','GoCRM',March 1 2019,Texas US,https://www.crunchbase.com/organization/gocrm,725400
23,"'advertising', 'e commerce', 'social networks', 'ai'","'mobile app', 'web app'",Publicly,High company activity detected,9 Aug 20,2200.0,30.5,'David Wilmot',Pre,"'b2c', 'b2b', 'free to use', 'commission'",1700,$795k,https://tuli.com/?ref=startuptracker,"'The first Native Social Shopping Platform for merchants, influencers and shoppers.'","'Tuli Technologies, Inc.'",August 1 2018,San Clemente US,https://crunchbase.com/organization/tuli-technologies,2100000
24,"'health', 'productivity', 'hr and recruitment', 'startups'","'service', 'web app'",Publicly,No recent company activity detected,6 Aug 20,2100.0,1.0,'Fahim Karim',Pre,"'b2b', 'freemium'",36,Undisclosed,https://trykarl.com?ref=startuptracker,"'Karl is the perfect way to spread positivity by giving kudos, shout outs, or heaping praise for employees who go above & beyond.'",'Karl (prev KudosBot)',August 31 2019,Seattle US,https://crunchbase.com/organization/kudosbot,2300000
25,"'advertising', 'consulting', 'marketing'","'service', 'web app'",Publicly,High company activity detected,2 Aug 20,3000.0,30.5,'poolmarketing',Post,"'b2c', 'advertising', 'sales', 'subscription'",1800,$350k,https://www.poolmarketing.com?ref=startuptracker,'Pool Marketing provides best-in-class Digital Marketing solutions for Pool Builders & Pool Service companies.','Pool Marketing',February 1 2020,Sacramento US,https://www.crunchbase.com/organization/pool-marketing,1600000
26,"'design', 'blockchain'",'web app',Publicly,High company activity detected,21 Jul 20,238.0,1.0,'Alex Edmonds🎙️',Pre,"'b2c', 'affiliation'",238,Undisclosed,http://alertsforbtc.com?ref=startuptracker,'Browser Push Notification for bitcoin','alertsforbtc.com',January 26 2018,San Jose US,https://producthunt.com/posts/alertsforbtc-com,0
27,"'education', 'ai', 'big data', 'bots'","'mobile app', 'web app'",Publicly,Sourced by Startup Tracker,17 Jul 20,979.0,30.5,'Memorize',Post,"'b2c', 'sales'",1,Undisclosed,https://memorize.tech?ref=startuptracker,'Memorize: Learn New Words with Flashcards','Memorize',February 29 2020,LA US,https://betalist.com/startups/memorize,4700000
28,'other','web app',Publicly,Sourced by Startup Tracker,16 Jul 20,10100.0,30.5,'Cenports Commerce',Pre,"'b2b', 'subscription'",3,Undisclosed,https://www.cenports.com?ref=startuptracker,'Enabling eCommerce for all','Cenports',November 17 2017,Hayward US,https://crunchbase.com/organization/cenports-commerce,468500
29,"'e commerce', 'finance', 'software dev', 'hospitality'","'mobile app', 'service', 'web app'",Privately,No recent company activity detected,13 Jul 20,16800.0,75.5,'Fortunesoft',Pre,"'b2b', 'other'",34,Undisclosed,https://www.fortunesoftit.com/?ref=startuptracker,'Web and Mobile app Development Company',"'Fortunesoft IT Innovations, Inc'",December 31 2008,Nashville US,https://crunchbase.com/organization/fortunesoft-it-innovations-inc,281800
30,'finance',"'service', 'web app'",Publicly,High company activity detected,4 Jul 20,62600.0,7.5,'Keeper Tax - Automatic Tax Savings for Gig Workers',Pre,"'b2c', 'b2b', 'subscription'",130,Undisclosed,https://keepertax.com?ref=startuptracker,'Keeper automatically finds tax write offs among your bank statements for $10 per month.','Keeper Tax',January 1 2018,San Francisco US,https://www.crunchbase.com/organization/keeper-tax,76600
31,"'education', 'governmental', 'security', 'accounting and legal'","'mobile app', 'service'",Privately,High company activity detected,29 Jun 20,4900.0,4.0,"""Wa'il Ashshowwaf"", 'Stuck in the Sand', 'Rooam'",Pre,"'b2c', 'b2b', 'b2g', 'non profit', 'free to use', 'advertising', 'affiliation', 'subscription'",599,$100k,https://www.reyets.com?ref=startuptracker,'Live Recording & Your Rights in one Click','Reyets',June 13 2017,Washington US,https://www.crunchbase.com/organization/reyets,954500
32,"'analytics', 'data', 'marketing', 'ai'",'web app',Publicly,Low company activity detected,24 Jun 20,1300.0,3.0,"'Kirill Rebrov', 'Natalia Tsvetkova'",Post,"'b2b', 'subscription'",14,Undisclosed,https://demografy.com?ref=startuptracker,'Privacy by design customer segmentation AI platform that predicts demographics from names providing full coverage and accuracy estimate','Demografy',August 31 2018,Lithia US,https://crunchbase.com/organization/demografy,3600000
33,"'finance', 'productivity', 'startups', 'software dev'","'mobile app', 'service'",Publicly,Low company activity detected,21 Jun 20,9.0,2.0,'Basam',Post,"'b2c', 'subscription'",9,Undisclosed,https://bankfolio.app/?ref=startuptracker,'BankFolio helps people save time and money by showing them all their account balances and transactions in one place.','BankFolio',January 21 2020,Tempe US,https://producthunt.com/posts/bankfolio,0
34,'productivity','web app',Privately,Low company activity detected,12 Jun 20,2300.0,1.0,'Trevor Lohrbeer',Post,"'b2c', 'b2b', 'subscription'",24,Undisclosed,https://dayoptimizer.com/?ref=startuptracker,"'Helps freelancers limit procrastination, increase focus & improve work-life balance by converting their to-do list into a daily schedule'",'Day Optimizer',May 21 2018,Asheville US,https://crunchbase.com/organization/day-optimizer,2000000
35,"'security', 'startups', 'big data', 'software dev'",'web app',Publicly,High company activity detected,10 Jun 20,1300.0,4.0,"'Mark Milbourne', 'Tallie'",Pre,"'b2b', 'subscription'",3700000,Undisclosed,https://www.cloudycosts.com?ref=startuptracker,'Cloudycosts helps companies save on cloud computing costs.','CloudyCosts',January 1 2020,Walnut Creek US,https://startuptracker.io,3700000
36,'startups',"'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,7 Jun 20,237100.0,75.5,'Time Doctor',Pre,"'b2b', 'freemium'",6600,Self,http://www.timedoctor.com?ref=startuptracker,'Time Doctor is an employee time tracking software that helps you and your team get a lot more done each day.','Time Doctor',January 31 2012,Delaware US,https://www.crunchbase.com/organization/time-doctor,20400
37,"'other', 'biotech', 'health', 'medical'",'service',Publicly,High company activity detected,4 Jun 20,0.0,30.5,'mHospital',Pre,"'other', 'b2c', 'commission'",9,Undisclosed,https://m-hospital.com/?ref=startuptracker,'On-demand healthcare service enabling patients and doctors to connect via mobile app.','mHospital',September 27 2017,Torrance US,https://www.crunchbase.com/organization/mhospital,0
38,"'marketing', 'sales'",'desktop app',Publicly,High company activity detected,2 Jun 20,47200.0,30.5,"'Postal.io', 'TextRecruit'",Pre,"'b2c', 'b2b', 'free to use', 'subscription'",431,$9m,https://postal.io/?ref=startuptracker,'Automated direct mail and gifting that integrates into sales and marketing workflows','Postal',September 1 2019,San Luis Obispo US,https://crunchbase.com/organization/postal-io,101400
39,"'analytics', 'ai'",'web app',Publicly,High company activity detected,1 Jun 20,11100.0,7.5,'Kirill',Pre,"'b2b', 'subscription'",37,$250k,https://datrics.ai?ref=startuptracker,'A drag and drop AI platform','Datrics',May 19 2019,Middletown US,https://crunchbase.com/organization/datrics,426900
40,"'biotech', 'health', 'ai', 'big data'","'service', 'web app'",Publicly,High company activity detected,26 May 20,7300.0,30.5,'MediFind',Pre,"'b2c', 'b2b', 'free to use', 'freemium'",80,Undisclosed,https://medifind.com?ref=startuptracker,"""The world's most advanced platform for helping patients find better care, faster.""",'MediFind',February 29 2020,Philadelphia US,https://crunchbase.com/organization/medifind,649200
41,"'social networks', 'startups'","'desktop app', 'web app'",Publicly,No recent company activity detected,25 May 20,0.0,2.0,'Sportlo',Pre,"'b2c', 'free to use'",669,Self,https://sportlo.com/?ref=startuptracker,'Sportlo is the local sports parent hub that allows users to stay connected with their youth sports community.','Sportlo',May 25 2019,Houston US,https://crunchbase.com/organization/sportlo,0
42,"'startups', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,23 May 20,13100.0,7.5,'RestCase',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",130,Undisclosed,https://www.restcase.com?ref=startuptracker,'API design first platform for developing REST and Async APIs','RestCase',December 31 2018,Delaware US,https://crunchbase.com/organization/restcase-inc,360800
43,"'hr and recruitment', 'startups', 'ai', 'software dev'",'desktop app',Pre,Low company activity detected,18 May 20,3700.0,30.5,'Starkflow',Pre,"'b2b', 'commission', 'subscription'",5,Self,https://www.starkflow.co/?ref=startuptracker,'Starkflow builds high performing remote teams for you.','Starkflow',March 2 2018,New York US,https://startuptracker.io,1300000
44,"'data', 'productivity', 'bots'","'mobile app', 'web app'",Privately,High company activity detected,16 May 20,61800.0,30.5,"'Martin Welker', 'Peter Oehler', 'Lookeen Desktop Search'",Pre,"'b2c', 'b2b', 'non profit', 'free to use'",1700,Self,https://www.zenkit.com?ref=startuptracker,'Organize your project','Zenkit',May 21 2016,Wilmington US,https://www.crunchbase.com/organization/zenkit,77600
45,'other','web app',Publicly,High company activity detected,15 May 20,76400.0,30.5,'Waitwhile',Pre,"'b2b', 'freemium'",137,Undisclosed,https://waitwhile.com?ref=startuptracker,'Waitwhile is a smart waitlist and scheduling platform that helps 10000+ organizations bust their lines and create awesome wait experiences.','Waitwhile',December 31 2015,San Francisco US,https://www.crunchbase.com/organization/waitwhile,62900
46,"'advertising', 'e commerce', 'startups', 'accounting and legal'",'web app',Publicly,No recent company activity detected,13 May 20,1500.0,7.5,"'Namesnack', 'Namesnack'",Pre,"'b2c', 'b2b', 'free to use'",237,Self,https://www.plansnack.com?ref=startuptracker,'100% free business planning software that increases your business startup success dramatically and takes less than 10 mins to complete.','PlanSnack',February 29 2020,San Francisco US,https://betalist.com/startups/plansnack,3100000
47,"'gaming', 'social networks', 'startups'",'web app',Privately,No recent company activity detected,12 May 20,1200.0,3.0,,Pre,"'b2c', 'free to use'",9,Undisclosed,http://riotz.io?ref=startuptracker,'Web-app to play partygames like Werewolf over videochat with your friends and family.','Riotz',May 1 2020,Palo Alto US,https://startuptracker.io,0
48,"'finance', 'health', 'insurance', 'travel'","'other', 'service', 'web app'",Publicly,High company activity detected,11 May 20,9600.0,30.5,'Sonraí Security',Post,"'b2b', 'sales', 'subscription'",1500,Undisclosed,https://sonraisecurity.com?ref=startuptracker,"'Sonrai Security delivers an enterprise security platform focused on identity and data governance inside AWS, Azure, GCP, and Kubernetes'",'Sonrai Security',October 1 2017,New York US,https://www.crunchbase.com/organization/sonrai-security,493900
49,"'productivity', 'startups', 'software dev'",'web app',Publicly,No recent company activity detected,11 May 20,110800.0,7.5,"'KeepSolid Goals', 'KeepSolid Inc.', 'Vasiliy Ivanov'",Pre,"'b2c', 'b2b', 'free to use', 'freemium', 'sales', 'subscription'",1300,Undisclosed,https://keepsolid.com/goals/?ref=startuptracker,"'Plan, track, stay aligned and achieve business objectives with your team'",'KeepSolid Goals',August 19 2019,NY US,https://crunchbase.com/organization/goals-by-keepsolid,43500
50,"'consulting', 'productivity', 'startups', 'sales'",'mobile app',Privately,Low company activity detected,4 May 20,3400.0,7.5,,Pre,"'b2c', 'b2b', 'freemium'",1100,Undisclosed,http://www.getonekey.io/?ref=startuptracker,"'OneKey: 1 Keyboard with all your Productivity Apps Schedule 📆, add ✅, take 📝, CRM 👥, directly from your messaging apps 💬✉️ !'",'OneKey',November 4 2019,Delaware US,https://angel.co/company,1400000
51,"'e commerce', 'startups', 'ai'",'web app',Publicly,No recent company activity detected,2 May 20,100800.0,1.0,"'Namesnack', 'PlanSnack'",Post,"'b2c', 'b2b', 'free to use'",237,Self,https://www.namesnack.com?ref=startuptracker,"'Business name generator and domain search in one. Find creative and available domains for your startup, shop, or new business.'",'Namesnack',February 29 2020,Austin US,https://betalist.com/startups/namesnack,47700
52,"'communication', 'productivity', 'startups'","'desktop app', 'mobile app', 'web app'",Privately,No recent company activity detected,2 May 20,652.0,3.0,'Chaine',Post,"'b2b', 'subscription'",7,Self,https://www.getchaine.com/?ref=startuptracker,"'Chaine is a productivity tool that helps logistics teams eliminate wasteful tasks, reduce operating costs, and get scaling superpowers.'",'Chaine',November 11 2019,San Francisco US,https://crunchbase.com/organization/chaine,7100000
53,'finance','service',Publicly,High company activity detected,1 May 20,140100.0,7.5,'Polygon.io',Pre,"'b2c', 'b2b', 'free to use'",419,Undisclosed,https://polygon.io?ref=startuptracker,"'Financial data platform, by developers, for developers.'",'Polygon.io',January 3 2017,Atlanta US,https://www.crunchbase.com/organization/polygon-io,34500
54,'design','service',Publicly,High company activity detected,1 May 20,26500.0,7.5,'Brandly',Pre,"'b2b', 'other'",6,$1,https://www.brandly.com?ref=startuptracker,"'Business cards for large teams, made simple'",'Brandly',February 3 2017,Woodside US,https://angel.co/brandly-1,179700
55,'productivity',"'mobile app', 'service', 'web app'",Publicly,Sourced by Startup Tracker,29 Apr 20,1500.0,7.5,"'Gignav', 'Om Soni'",Pre,"'b2c', 'b2b', 'free to use', 'commission', 'subscription'",11,Undisclosed,http://www.gignav.com?ref=startuptracker,'Future of Work SaaS','Gignav',April 10 2019,Detroit US,https://crunchbase.com/organization/gignav-inc,3000000
56,"'advertising', 'analytics', 'e commerce'",'web app',Publicly,No recent company activity detected,27 Apr 20,0.0,7.5,"'Inleven App', 'Alberto Sustiel,'",Pre,"'b2c', 'b2b', 'subscription'",257,Undisclosed,https://inleven.com/?ref=startuptracker,"'A new and better way to shorten, track and share links with your team.'",'Inleven',September 2 2019,Bonita US,https://www.crunchbase.com/organization/inleven,0
57,'hr and recruitment','web app',Publicly,High company activity detected,22 Apr 20,20200.0,2.0,'DailyRemote',Pre,"'b2c', 'b2b', 'free to use', 'sales'",5300,Undisclosed,https://dailyremote.com?ref=startuptracker,"'We help people find a remote job at over 2,000+ remote companies in Software Development, Design, Support, Sales etc.'",'DailyRemote',July 31 2019,new york US,https://startuptracker.io,235500
58,"'startups', 'software dev'",'service',Publicly,High company activity detected,21 Apr 20,30100.0,30.5,"'Russell Smith \U0001f9e2', 'Fred Stevens-Smith'",Post,"'b2b', 'freemium', 'sales', 'subscription'",2400,$41.2m,https://www.rainforestqa.com/?ref=startuptracker,'A flexible software testing platform.','Rainforest QA',January 1 2012,San Francisco US,https://www.crunchbase.com/organization/rainforest,158200
59,"'communication', 'real estate'","'mobile app', 'web app'",Pre,Low company activity detected,21 Apr 20,0.0,3.0,'James Peel',Pre,"'b2c', 'freemium'",10,Undisclosed,https://www.tanebuild.com/?ref=startuptracker,'Tāne is your home construction project assistant','Tāne',January 1 2020,San Francisco US,https://crunchbase.com/organization/t%C4%81ne,0
60,"'consulting', 'health', 'media', 'medical'",'service',Publicly,High company activity detected,17 Apr 20,3000.0,2.0,"'Kristen Ruby', 'RubyMediaGroup®'",Pre,"'b2c', 'b2b', 'other'",901,Undisclosed,https://rubymediagroup.com?ref=startuptracker,'PR Consulting Agency that helps Founders get Business Press through personal branding and thought leadership marketing.','Ruby Media Group Inc.',June 1 2009,New York US,https://crunchbase.com/organization/ruby-media-group,1600000
61,"'entertainment', 'media', 'social networks', 'content'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,16 Apr 20,5700.0,3.0,'Bookshlf',Pre,"'b2c', 'advertising', 'subscription'",510,Undisclosed,https://bookshlf.com/?ref=startuptracker,"'A dedicated space to help people\xa0organize,\xa0curate\xa0and\xa0discover\xa0their favorite digital content'",'Bookshlf',March 19 2019,New York US,https://crunchbase.com/organization/bookshlf,819600
62,"'other', 'advertising', 'marketing'",'service',Publicly,No recent company activity detected,16 Apr 20,0.0,7.5,'PostPanda',Pre,"'b2b', 'subscription'",42,Undisclosed,https://postpanda.co/?ref=startuptracker,'Top quality social media content that fits every budget','Post Panda',August 28 2019,Virginia US,https://startuptracker.io,0
63,"'design', 'e commerce', 'media', 'software dev'",'web app',Publicly,High company activity detected,13 Apr 20,40500.0,30.5,"'Vladimir Lugovsky', 'Konstantin Danovsky'",Pre,"'b2c', 'b2b', 'subscription'",640,Undisclosed,https://uibakery.io/?ref=startuptracker,'UI Bakery – the first low-code platform which allows creating branded frontend apps based on a custom Design System','UI Bakery',October 31 2018,Denver US,https://www.crunchbase.com/organization/ui-bakery,118100
64,"'productivity', 'real estate'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,10 Apr 20,1200.0,1.0,'HomeFlow',Pre,"'b2c', 'commission', 'advertising'",139,Self,https://tryhomeflow.com?ref=startuptracker,"'We help home buyers save time, be more confident, and manage their whole home buying experience.'",'HomeFlow',December 1 2019,New York US,https://startuptracker.io,3900000
65,"'advertising', 'data', 'marketing', 'sales', 'productivity'","'service', 'web app'",Publicly,No recent company activity detected,9 Apr 20,10900.0,30.5,'CloudLead.co',Post,"'b2b', 'sales', 'subscription'",1100,Undisclosed,http://www.cloudlead.co?ref=startuptracker,'CloudLead uses machine learning tools backed by human researchers to help B2B sales and marketing teams scale their outbound processes.','Cloudlead',February 29 2016,"San Mateo, CA US",https://www.crunchbase.com/organization/cloudlead,432900
66,"'consulting', 'productivity', 'hr and recruitment', 'startups'","'desktop app', 'service', 'web app'",Publicly,No recent company activity detected,8 Apr 20,0.0,7.5,'Avvnue Inc',Pre,"'b2b', 'freemium', 'subscription'",138,Undisclosed,https://www.avvnue.com?ref=startuptracker,'Avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace','Avvnue',June 5 2019,Houston US,https://www.crunchbase.com/organization/avvnue-inc,0
67,"'e commerce', 'marketing'",'web app',Publicly,Low company activity detected,2 Apr 20,146600.0,75.5,'FindNiche',Pre,"'b2c', 'b2b', 'free to use'",50,Undisclosed,https://findniche.com/?ref=startuptracker,'Free tool for winning products','FindNiche',October 31 2019,San Francisco US,https://www.producthunt.com/posts/findniche?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,32900
68,'startups','service',Publicly,Low company activity detected,29 Mar 20,0.0,7.5,'WorcLab',Pre,"'b2b', 'free to use'",596,Undisclosed,https://worclab.org?ref=startuptracker,'Incubator and coworking space','WorcLab',March 3 2010,Worcester US,https://crunchbase.com/organization/worclab,0
