,0
0,EarthLink
1,The Home Depot
2,Turner Broadcasting System
3,Seraph Group
4,First Data Corporation
5,AT&T Wireless
6,PodPonics
7,Vitrue
8,Manhattan Associates
9,Newell Rubbermaid
10,Silverpop
11,Eyewonder
12,CoffeeCup Software
13,Vocalocity
14,Cardlytics
15,Internet Security Systems
16,Endgame Systems
17,Shotput Ventures
18,Imlay Investments
19,SecureWorks
20,AirSage
21,Vertical Acuity
22,Analytics Quotient
23,AphidByte
24,Purewire
25,Air2web
26,Clickfox
27,The Campus Special
28,Qcept Technologies
29,likeplum
30,Nexidia
31,Points of Light Institute
32,Snapfinger
33,Gaming Network Solutions
34,Kaneva
35,Fx Bridge
36,Oversight Systems
37,theignitionproject.com
38,Skribit
39,ThePort Network
40,Cypress Communications
41,S2R Execution Bridge
42,TerraGo Technologies
43,Looxii
44,RMI
45,ZooZ Mobile
46,Hannon Hill
47,FullStory
48,Legacy Opportunity Fund
49,The Highway Girl
50,Powerplan Consultants
51,Wandering WiFi
52,Spinue
53,Hubbard Digital
54,Emcien
55,JobTitled
56,Eggplanter
57,YBE Magazine
58,Arke Systems
59,"Ostara Capital Fund, LP"
60,Sandboxed Software
61,E&S Consulting
62,Paymentus
63,Band Metrics
64,Brightree
65,Italia Furniture
66,CardioMEMS
67,ProjectLocker
68,Force Majeure
69,Oh Snap Let's Eat
70,LogFire
71,Premier Exhibitions
72,Siftit
73,The Foresight Initiative
74,BasisCode
75,QWave Capital
76,FlightBridge
77,Spoofem.com
78,Homebase.io
79,Georgia community health
80,Exium Partners
81,Xquva
82,Soneter
83,National Instruments
84,Whole Foods Market
85,HomeAway
86,Gowalla
87,Datastax
88,TPG Capital
89,Dachis Group
90,SocialWare
91,Convio
92,Spredfast
93,Appconomy
94,"RetailMeNot, Inc."
95,Harte-Hanks
96,NetSpend
97,Square Root
98,Cubit Planning
99,BuildForge
100,Digby
101,Challenge Games
102,Solarbridge Technologies
103,Profitfuel
104,MarketZero
105,Motion Computing
106,MPOWER Mobile
107,Pluck
108,Front Gate Tickets
109,Notice Technologies
110,CSIdentity
111,Boundless Network
112,Powered
113,Vista Equity Partners
114,CTAN - Central Texas Angel Network
115,Tango Health
116,Calxeda
117,MessageOne
118,Lombardi Software
119,Invodo
120,TurnKey Vacation Rentals
121,Spawn Labs
122,LugIron Software
123,UnWired Nation
124,Savara Pharmaceuticals
125,Metreos Corporation
126,Newcomlink
127,Aspyr Media
128,All Web Leads
129,Phurnace Software
130,Zebra Imaging
131,On Networks
132,Hyper9
133,B-Side Entertainment
134,StoredIQ
135,Sailpoint Technologies
136,Launch Society
137,AlterPoint
138,Collider Media
139,FeedMagnet
140,NetQoS
141,RezOvation
142,HelioVolt
143,MONKEYmedia
144,Noesis Energy
145,ProspX
146,Quarri Technologies
147,Ascendant Technology
148,Together Mobile
149,Get Smart Content
150,Augmentix
151,United Devices
152,SKYLIST
153,Javelin Semiconductor
154,Gazzang
155,Whiteglove Health
156,S3 Matching Technologies
157,Kimbia
158,Rallyhood
159,Newgistics
160,Click Security
161,PeopleAdmin
162,Sharegate
163,Appcasher
164,Upland Software
165,SocialSmack
166,Unsubcentral
167,Affinegy
168,Actacell
169,Vigil Games
170,Nextio
171,Ortho Kinematics
172,Myturf
173,Veros Systems
174,Veribuy
175,Vital Farms
176,Open Labs
177,National Surgery Network
178,Teres Solutions
179,FameCast
180,Callvine
181,VacationRentalsForSale.com
182,Perception Software
183,Fluid Innovation Group
184,Journyx
185,Personably
186,Yan Engines
187,Streamstep
188,Skyonic
189,Rooster Teeth Productions
190,SensorTran
191,BedandBreakfast.com
192,Quaresso Software
193,nGenera Corporation
194,uStudio
195,Uvumi
196,JAM Technologies
197,Alliance Tech
198,Polsense
199,Uprizer Labs
200,Rock Ridge Games
201,Identyx
202,RevoStars
203,Texas Indie Fest
204,Tejas Securities Group 
205,CSO Research
206,Adrian World Design
207,Woodgen
208,JamKazam
209,Wisegate
210,Sante Ventures
211,First Choice Pet Care
212,AMD Ventures
213,"Wetzel Blade, Inc."
214,KiSOFT
215,302designs
216,QikCom
217,Shangby
218,Zehicle
219,Inova Labs
220,Reflex Design
221,Thoof
222,wantANDfound.com
223,Infoglide Software Corporation
224,CloudioWeb
225,Conformity
226,Boost Keychains
227,Okkem Consulting
228,Innovari
229,Alara Capital
230,Art Craft Entertainment
231,PTV Healthcare Capital
232,My Docket
233,DroidCloud
234,Green & Grow
235,Cityflag
236,Hsoi Enterprises
237,Liberate BodyWorks
238,PowerIT
239,High Brew Coffee
240,Photetica
241,Malauzai Software
242,Michael & Susan Dell Foundation
243,Drill Map
244,Peak Rock Capital
245,Black Sand Technologies
246,ZilloPay
247,TiE Austin
248,NIMBOXX
249,Surge Performance Training
250,Rapid Io
251,Rig Up
252,Snap Trends
253,HELM Boots
254,TIFFS TREATS HOLDINGS
255,Vida Capital
256,Deal Pepper
257,Yardly
258,Escalate Capital Partners
259,Lung Therapeutics
260,FireFly LED Lighting
261,Nuventix
262,Boston Consulting Group
263,Boston University
264,Sapient
265,Digitas
266,Massachusetts Institute of Technology
267,Placester
268,SapientNitro
269,Akamai Technologies
270,Brown Brothers Harriman
271,Experiment Fund
272,Houghton Mifflin Harcourt
273,Where
274,Xamarin
275,Bullhorn
276,Liberty Mutual Insurance
277,ScanScout
278,MFS Investment Management
279,Dataxu
280,PatientsLikeMe
281,Compete
282,Where Angel Fund
283,Rue La La
284,Brand Networks
285,Basho Technologies
286,BzzAgent
287,Lead Dog Ventures
288,New Balance
289,Smart Lunches
290,Sample6
291,Yamli
292,IdeaPaint
293,Viximo
294,Blueprint Medicines
295,ConnectEdu
296,AccelGolf
297,Foundation Medicine
298,Linkable Networks
299,iSkoot
300,NaviNet
301,Transatomic Power
302,Paradigm4
303,AES
304,HarbourVest Partners
305,Retroficiency
306,Tsumobi
307,Third Rock Ventures
308,Oasys Water
309,AI Exchange
310,PatientKeeper
311,Iora Health
312,International Data Group
313,Gelesis
314,VentureUp 
315,American Tower
316,Pubget
317,Gather
318,Causeway Media Partners
319,Lucidity Lights
320,Fashion Playtes
321,FirstGiving
