entity_name,primary_issuer_city,primary_issuer_state_or_country_description,industry_group_type,total_investors
strategic global balanced trust,arlington,virginia,pooled investment fund,25
asset holding group ltd,pembroke,bermuda,insurance,90
"digerati technologies, inc.",san antonio,texas,telecommunications,10
tidal petroleum inc,schertz,texas,oil and gas,2
allin corp,pittsburgh,pennsylvania,other technology,2
cipherloc corp,buda,texas,other,14
"waterhealth international, inc.",irvine,california,other,1
canalaska uranium ltd,vancouver,"british columbia, canada",other,2
kinderhook bank corp,kinderhook,new york,commercial banking,1
"sun biopharma, inc.",waconia,minnesota,pharmaceuticals,13
new jersey mining co,coeur d'alene,idaho,other,16
alexandria real estate equities inc,pasadena,california,reits and finance,22
alexandria real estate equities inc,pasadena,california,reits and finance,2
"identiv, inc.",fremont,california,other technology,2
helios & matheson analytics inc.,new york,new york,other technology,1
maverick fund ltd,grand cayman,cayman islands,pooled investment fund,300
face international corp,norfolk,virginia,other technology,14
dilon technologies inc,newport news,virginia,biotechnology,34
m financial holdings inc,portland,oregon,insurance,0
m financial holdings inc,portland,oregon,insurance,117
deloitte & touche llp,new york,new york,other,134
alpine partners lp,englewood cliffs,new jersey,pooled investment fund,106
shelter products inc,milwaukie,oregon,other,0
freegold ventures ltd,vancouver,"british columbia, canada",other,1
maverick levered partners l p,dallas,texas,pooled investment fund,637
fcm far eastern fund l p,allen,texas,pooled investment fund,29
northwest biotherapeutics inc,bethesda,maryland,biotechnology,0
"cardia, inc.",eagan,minnesota,other health care,11
visualant inc,seattle,washington,other technology,5
visualant inc,seattle,washington,other technology,3
visualant inc,seattle,washington,other technology,2
acm financial trust inc,winston salem,north carolina,reits and finance,183
indesign llc,indianapolis,indiana,other,6
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
"spotlight capital holdings, inc",los angeles,california,other,1
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
pacific life insurance co,newport beach,california,insurance,0
"apollo medical holdings, inc.",glendale,california,other health care,10
"apollo medical holdings, inc.",glendale,california,other health care,10
"flux power holdings, inc.",vista,california,other energy,0
"dropcar, inc.",new york,new york,other,13
american outdoor brands corp,springfield,massachusetts,other,5
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
pacific life & annuity co,newport beach,california,insurance,0
first personal financial corp,orland park,illinois,commercial banking,10
"gt biopharma, inc.",washington,district of columbia,biotechnology,14
protalex inc,florham park,new jersey,biotechnology,8
"cah holdings, inc",birmingham,alabama,insurance,3
vertical computer systems inc,richardson,texas,other technology,10
jensen investment management inc,lake oswego,oregon,investing,2
salesforce com inc,san francisco,california,other technology,18
"mabvax therapeutics holdings, inc.",san diego,california,biotechnology,13
gc&h investments llc,san francisco,california,pooled investment fund,0
beacon roofing supply inc,herndon,virginia,other,1
"somalogic, inc",boulder,colorado,other technology,3
"somalogic, inc",boulder,colorado,other technology,1
wilson resources inc,granville,ohio,oil and gas,5
argenta private capital ltd,london,united kingdom,other,57
nationwide private placement variable account,columbus,ohio,insurance,1
nationwide private placement variable account,columbus,ohio,insurance,1
nationwide private placement variable account,columbus,ohio,insurance,1
"propolis capital fund, l.p.",steamboat springs,colorado,pooled investment fund,66
vectormax corp,farmingdale,new york,other technology,3
vectormax corp,lindenhurst,new york,other technology,3
vectormax corp,lindenhurst,new york,other technology,1
vectormax corp,lindenhurst,new york,other technology,3
solarflare communications inc,irvine,california,other technology,4
"reed's, inc.",los angeles,california,other,1
value holdings lp,hampton bays,new york,pooled investment fund,71
springbank value partners lp,hampton bays,new york,pooled investment fund,33
"comscore, inc.",reston,virginia,business services,4
caz investments lp,houston,texas,investing,15
"growlife, inc.",kirkland,washington,other technology,1
"growlife, inc.",kirkland,washington,other technology,3
"growlife, inc.",kirkland,washington,other technology,1
"growlife, inc.",kirkland,washington,other technology,1
"growlife, inc.",kirkland,washington,other technology,1
"growlife, inc.",kirkland,washington,other technology,1
westcliff ventures fund lp,santa cruz,california,pooled investment fund,21
"brownie's marine group, inc",pompano beach,florida,manufacturing,7
lampost blue chip fund lp,boca raton,florida,pooled investment fund,49
desert hawk gold corp.,reno,nevada,other,2
ravenswood ii lp,massapequa,new york,pooled investment fund,31
"koch holdings, llc",wichita,kansas,other,24
fpx nickel corp.,vancouver,"british columbia, canada",other,4
emarine global inc.,"nam-gu, ulsan","korea, republic of",other,5
hometown community bancorp inc,morton,illinois,commercial banking,121
genesis financial inc,las vegas,nevada,other banking and financial services,23
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
"creative medical technology holdings, inc.",phoenix,arizona,biotechnology,1
united bancorp inc,palos heights,illinois,commercial banking,13
foundry fund llc,arlington,virginia,pooled investment fund,0
energy associates inc,lexington,kentucky,oil and gas,0
minerva group l p,bala cynwyd,pennsylvania,pooled investment fund,91
rail splitter fund l p,chicago,illinois,pooled investment fund,1
rbj partners lp,mclean,virginia,investing,104
coffee can fund lp,mclean,virginia,investing,56
rbj retirement fund lp,mclean,virginia,investing,58
juggernaut fund lp,new york,new york,pooled investment fund,29
"vic technology venture development, llc",fayetteville,arkansas,other,1
capella photonics inc,san jose,california,other technology,1
"legacy technology holdings, inc.",arvada,colorado,other technology,1
"gi dynamics, inc.",boston,massachusetts,biotechnology,1
akonni biosystems inc,fredrick,maryland,biotechnology,26
akonni biosystems inc,fredrick,maryland,biotechnology,1
vs asset fund lp,greenwich,connecticut,pooled investment fund,12
geode capital holdings llc,boston,massachusetts,other banking and financial services,2
"ninthdecimal, inc.",san francisco,california,other technology,5
infosonics corp,san diego,california,telecommunications,5
deloitte consulting llp,new york,new york,other,148
holly energy partners lp,dallas,texas,oil and gas,7
"processunity, inc.",concord,massachusetts,other technology,5
"mitralign, inc.",tewksbury,massachusetts,other health care,19
village bank & trust financial corp.,midlothian,virginia,other banking and financial services,10
"iiot-oxys, inc.",cambridge,massachusetts,other,2
"iiot-oxys, inc.",cambridge,massachusetts,other,1
"iiot-oxys, inc.",cambridge,massachusetts,other,1
"iiot-oxys, inc.",cambridge,massachusetts,other,1
accera inc,boulder,colorado,other,2
fairfield financial services inc,beaverton,oregon,other banking and financial services,6
goldsource mines inc.,vancouver,"british columbia, canada",other,10
gleneagles absolute return fund llc,atlanta,georgia,pooled investment fund,15
extra space storage lp,salt lake city,utah,reits and finance,4
strategic funds spc,"george town, grand cayman",cayman islands,pooled investment fund,12
westcliff fund lp,santa cruz,california,pooled investment fund,10
"new health sciences, inc.",lexington,massachusetts,biotechnology,2
southern new mexico surgery center llc,alamogordo,new mexico,other health care,1
silvergate capital corp,la jolla,california,commercial banking,46
texakoma exploration & production llc,plano,texas,oil and gas,2
echalk inc,new york,new york,other technology,4
"gtt communications, inc.",mclean,virginia,telecommunications,2
"gtt communications, inc.",mclean,virginia,telecommunications,1
algebraix data corp,austin,texas,other technology,6
algebraix data corp,austin,texas,other technology,65
hixson holdings inc,cincinnati,ohio,other,29
gold standard ventures corp.,vancouver,"british columbia, canada",other,1
sword diagnostics inc,chicago,illinois,other health care,2
avantis medical systems inc,san jose,california,other health care,4
white river bancshares co,fayetteville,arkansas,commercial banking,6
amundi,paris,france,other banking and financial services,31
liquidia technologies inc,morrisville,north carolina,biotechnology,7
siegfried resources llc,wilmington,delaware,other,67
piedmont stone center pllc,winston salem,north carolina,other health care,3
transcapital georgia tax credit fund ii llc,phoenix,arizona,other real estate,56
"coda octopus group, inc.",orlando,florida,other,2
uranium energy corp,corpus christi,texas,other,1
uranium energy corp,corpus christi,texas,other,2
uranium energy corp,corpus christi,texas,other,6
giga metals corp,vancouver,"british columbia, canada",other,1
healthcor offshore ltd,new york,new york,pooled investment fund,246
healthcor l p,new york,new york,pooled investment fund,178
"total financial solutions, llc",hackensack,new jersey,other banking and financial services,6
avatar capital finance llc,seattle,washington,other real estate,12
avatar capital finance llc,seattle,washington,other real estate,10
avatar capital finance llc,seattle,washington,other real estate,14
avatar capital finance llc,seattle,washington,other real estate,19
avatar capital finance llc,seattle,washington,other real estate,28
avatar capital finance llc,seattle,washington,other real estate,15
nationwide boli private placement variable account,columbus,ohio,insurance,19
great lakes surgical center llc,southfield,michigan,other health care,0
alexanders steakhouse inc,cupertino,california,restaurants,7
skyword inc.,boston,massachusetts,other,3
"alphatec holdings, inc.",carlsbad,california,other health care,55
hampden agencies ltd,london,united kingdom,other,38
republic bancorp co.,oak brook,illinois,commercial banking,1
"snap interactive, inc","new york,",new york,other technology,1
"genius brands international, inc.",beverly hills,california,other,6
z loan & investment inc,south lake tahoe,california,reits and finance,3
z loan & investment inc,south lake tahoe,california,reits and finance,5
z loan & investment inc,south lake tahoe,california,reits and finance,5
"jerrick media holdings, inc.",englewood,new jersey,other,22
syncora holdings ltd,hamilton,bermuda,insurance,0
high society freeride co llc,aspen,colorado,retailing,3
ideal implant inc,dallas,texas,other health care,13
avalon advanced materials inc.,toronto,"ontario, canada",other,1
"myoscience, inc",fremont,california,other,17
1837 partners l.p.,chicago,illinois,pooled investment fund,12
"strategic pharmaceutical solutions, inc",portland,oregon,other technology,2
healthpro brands inc,cinicinnati,ohio,manufacturing,1
"bill.com, inc.",palo alto,california,other,5
ecochlor inc,maynard,massachusetts,other technology,43
international columbia us llc,seattle,washington,investing,0
"fireeye, inc.",milpitas,california,other technology,3
blackthorn partners l.p.,overland park,kansas,pooled investment fund,128
chromis fiberoptics inc,warren,new jersey,manufacturing,1
entrustpermal emerging markets holdings nv,9 curacao netherlands antilles,united kingdom,pooled investment fund,43
"kestrel investment fund, l.p.",san mateo,california,pooled investment fund,31
insightec ltd,tirat carmel,israel,other health care,24
careview communications inc,lewisville,texas,other health care,8
jenavalve technology inc,irvine,california,other health care,11
gnb bancorporation,grundy center,iowa,commercial banking,10
"cellular biomedicine group, inc.",cupertino,california,biotechnology,3
focused investors fund l p,beverly hills,california,pooled investment fund,79
westcliff alternative holdings l p,santa cruz,california,pooled investment fund,2
"mobitv, inc.",emeryville,california,other technology,1
"position imaging, inc",portsmouth,new hampshire,other technology,8
green spirit industries inc.,san juan,puerto rico,other,1
green spirit industries inc.,san juan,puerto rico,other,11
oklahoma heart hospital l l c,oklahoma city,oklahoma,hospitals and physicians,0
mid-america angels investments llc,fairway,kansas,investing,26
mid-america angels investments llc,fairway,kansas,investing,12
mid-america angels investments llc,fairway,kansas,investing,8
mid-america angels investments llc,fairway,kansas,investing,10
mid-america angels investments llc,fairway,kansas,investing,6
collective inc,new york,new york,other technology,17
"humacyte, inc.",durham,north carolina,biotechnology,29
halosource inc,bothell,washington,manufacturing,19
optima partners focus fund llc,new york,new york,pooled investment fund,128
"novabay pharmaceuticals, inc.",emeryville,california,pharmaceuticals,1
"jewel qp fund, l.p.",new york,new york,investing,3
chain bridge bancorp inc,mclean,virginia,commercial banking,94
trimetals mining inc.,vancouver,"british columbia, canada",other,4
"weed, inc.",tucson,arizona,other,2
ehealth global technologies inc,west henrietta,new york,other technology,5
imh financial corp,scottsdale,arizona,reits and finance,1
"nvest, inc.",san francisco,california,other technology,1
ravenswood investments iii lp,massapequa,new york,pooled investment fund,28
calamos global opportunities fund lp,naperville,illinois,pooled investment fund,22
"apjet, inc.",morrisville,north carolina,other,0
"arrogene, inc",los angeles,california,biotechnology,43
"edaris health, inc.",waltham,massachusetts,other,23
"efficient drivetrains, inc",milpitas,california,other technology,21
bradmer pharmaceuticals inc,toronto,"ontario, canada",pharmaceuticals,25
highline select lp,new york,new york,pooled investment fund,71
i-minerals inc,vancouver,"british columbia, canada",other,1
alpine institutional lp,englewood cliffs,new jersey,pooled investment fund,4
bibbentuckers llc,dallas,texas,retailing,11
healthcor hybrid offshore ltd,new york,new york,pooled investment fund,26
strategic global balanced institutional trust ii,arlington,virginia,pooled investment fund,0
strategic global balanced institutional trust i,arlington,virginia,pooled investment fund,9
"j3 bioscience, inc.",salt lake city,utah,other health care,2
"inxpo, inc.",chicago,illinois,other technology,16
mediamorph inc,new york,new york,other technology,4
vida diagnostics inc,coralville,iowa,other health care,11
peoplekeep inc,murray,utah,business services,5
"moneyonmobile, inc.",dallas,texas,other,40
"sanuwave health, inc.",suwanee,georgia,biotechnology,42
"invo bioscience, inc.",medford,massachusetts,other health care,1
student transportation inc.,barrie,"ontario, canada",other travel,2
apptio inc,bellevue,washington,other technology,10
high mowing seed co,wolcott,vermont,agriculture,26
arianne phosphate inc.,chicoutimi,"quebec, canada",other,2
"sino-global shipping america, ltd.",roslyn,new york,other,17
northern jersey lithotripsy llc,columbus,ohio,other health care,1
"evotem, llc",indianapolis,indiana,telecommunications,1
fish pond surgery center ltd,waco,texas,hospitals and physicians,5
"resource data, inc.",anchorage,alaska,computers,9
alder biopharmaceuticals inc,bothell,washington,biotechnology,6
wolverine technologies corp.,richmond,"british columbia, canada",other,2
"amarantus bioscience holdings, inc.",san francisco,california,pharmaceuticals,1
rise gold corp.,vancouver,"british columbia, canada",other,2
"alpine heritage, l.p.",englewood cliffs,new jersey,pooled investment fund,380
"real goods solar, inc.",denver,colorado,other energy,1
ynvisible interactive inc.,vancouver,"british columbia, canada",other,1
strategic institutional funds spc,"george town, grand cayman",cayman islands,pooled investment fund,1
"myskin, inc",jersey city,new jersey,other,2
"fortress biotech, inc.",new york,new york,biotechnology,2
"biorez, inc.",new haven,connecticut,biotechnology,15
nevada copper corp.,vancouver,"british columbia, canada",other,1
value partners taiwan fund,hong kong,hong kong,pooled investment fund,5
torchlight energy resources inc,plano,texas,oil and gas,1
pershing gold corp.,lakewood,colorado,other,11
"stockshield, llc",los angeles,california,other banking and financial services,5
"cheribundi, inc.",geneva,new york,manufacturing,11
"novasentis, inc.",berkeley,california,other technology,5
"shiftboard, inc",seattle,washington,other technology,16
"vegalab, inc.","north palm beach,",florida,agriculture,1
"bluepearl holdings, llc",tampa,florida,other health care,6
"bluepearl holdings, llc",tampa,florida,other health care,3
"bluepearl holdings, llc",tampa,florida,other health care,2
"wormser energy solutions, inc.",marblehead,massachusetts,other technology,8
"orthosensor, inc",dania beach,florida,other health care,1
payfone inc,new york,new york,other technology,8
"lilis energy, inc.",san antonio,texas,oil and gas,6
"miami international holdings, inc.",princeton,new jersey,other,1
"miami international holdings, inc.",princeton,new jersey,other,1
"northsight capital, inc.",scottsdale,arizona,business services,8
"northsight capital, inc.",scottsdale,arizona,business services,1
"northsight capital, inc.",scottsdale,arizona,business services,1
curemark llc,rye,new york,biotechnology,1
biodesix inc,boulder,colorado,biotechnology,1
mindcrest inc,chicago,illinois,other,9
"clearflow, inc",anaheim,california,other health care,5
cuba ventures corp,vancouver,"british columbia, canada",other,1
neurona therapeutics inc,south san francisco,california,biotechnology,6
"hospitalists now, inc.",austin,texas,hospitals and physicians,6
hygieia inc,livonia,michigan,other health care,8
avrupa minerals ltd.,vancouver,"british columbia, canada",other,6
castle biosciences inc,friendswood,texas,biotechnology,48
mutualink inc,wallingford,connecticut,telecommunications,11
"mindchild medical, inc",north andover,massachusetts,other health care,2
symetra separate account vl,bellevue,washington,pooled investment fund,1
"nbc bancshares, llc",lincoln,nebraska,other banking and financial services,13
apjet venture llc,stamford,connecticut,other,0
"jadwin fund i, l.p.",burlingame,california,pooled investment fund,39
"seventh sense biosystems, inc.",medford,massachusetts,biotechnology,15
j&j solutions inc,iowa city,iowa,other health care,46
salutaris medical devices inc,tucson,arizona,biotechnology,4
minerva surgical inc,redwood city,california,other health care,21
alpha insurance analysts ltd,london,united kingdom,other banking and financial services,14
syndevrx inc,cambridge,massachusetts,biotechnology,1
cognition therapeutics inc,pittsburgh,pennsylvania,biotechnology,31
veriquant fund lp,greenwich,connecticut,pooled investment fund,2
"bernoulli fund, llc",evanston,illinois,pooled investment fund,36
"bernoulli fund, llc",evanston,illinois,pooled investment fund,36
"crossfirst bankshares, inc.",leawood,kansas,other banking and financial services,19
strategic portfolios (restricted) ltd spc,"george town, grand cayman",cayman islands,pooled investment fund,7
strategic portfolios (restricted) ltd spc,"george town, grand cayman",cayman islands,pooled investment fund,7
franklin street partners manager of managers llc ii,chapel hill,north carolina,pooled investment fund,78
franklin street partners manager of managers llc i,chapel hill,north carolina,pooled investment fund,83
