,city,employees,founded,CityRanking,job_openings,growth_percentage,estimated_revenues (in millions)
0,49.10526315789474,142,2016.0,9,7,30,31.24
1,120.66666666666667,119,2019.0,1,10,341,32.13
2,49.10526315789474,742,2015.0,2,135,60,200.34
3,49.10526315789474,313,2016.0,3,52,105,40.69
4,34.333333333333336,84,2012.0,4,8,12,20.58
5,49.10526315789474,67,2011.5,5,3,43,9.715
6,49.10526315789474,170,2015.0,6,4,63,42.67
7,32.8,476,1997.0,7,2,19,99.96
8,105.0,87,2014.0,8,1,181,21.837
9,49.10526315789474,96,2019.0,10,1,153,25.92
10,58.129629629629626,90,2011.5,11,1,150,0.0
11,49.10526315789474,35,2012.0,12,1,35,5.6
12,49.10526315789474,36,2015.0,13,1,100,5.22
13,71.72727272727273,46,2011.5,14,1,171,0.0
14,49.10526315789474,80,2001.0,15,1,48,11.6
15,70.5,66,2008.0,758,1,106,20.13
16,34.0,32,2016.0,16,1,68,9.184
17,70.5,229,2011.5,776,1,35,69.845
18,58.129629629629626,428,2011.5,778,1,15,62.06
19,42.666666666666664,37,2011.5,780,1,54,5.735
20,35.333333333333336,238,2004.0,17,7,28,64.26
21,120.66666666666667,719,1972.0,18,90,19,71.9
22,49.10526315789474,573,1995.0,19,42,2,83.085
23,49.10526315789474,65,2011.5,20,1,91,21.125
24,45.75,98,1999.0,21,1,20,28.42
25,49.10526315789474,49,2017.0,22,1,44,12.25
26,49.10526315789474,59,2017.0,23,15,51,8.37
27,49.10526315789474,31,2014.0,24,1,35,8.37
28,58.129629629629626,57,2011.5,25,1,104,17.385
29,45.75,38,2002.0,26,1,100,10.26
30,49.10526315789474,80,2013.0,27,1,1,21.6
31,34.0,249,2012.0,28,4,0,37.41
32,49.10526315789474,233,2009.0,29,1,69,58.25
33,49.10526315789474,208,2001.0,30,6,51,42.432
34,47.5,88,1968.0,1948,1,49,13.64
35,47.5,86,1968.0,2060,1,46,13.33
36,49.10526315789474,181,1924.0,31,1,60,52.49
37,58.129629629629626,37,2011.5,2083,1,9,0.0
38,49.10526315789474,96,2010.0,32,1,57,13.92
39,34.333333333333336,33,2014.0,33,1,74,8.91
40,58.129629629629626,201,2013.0,34,9,51,54.27
41,31.666666666666668,73,2014.0,2403,1,52,14.746
42,58.129629629629626,34,2013.0,2430,1,70,0.0
43,58.129629629629626,34,2017.0,2503,1,-3,4.93
44,49.10526315789474,37,2011.5,35,1,68,0.0
45,49.10526315789474,42,2007.0,36,1,68,6.09
46,26.0,60,2011.5,37,18,22,9.78
47,58.129629629629626,73,1977.0,2592,1,49,21.17
48,46.62162162162162,73,1986.0,2593,1,49,18.323
49,58.129629629629626,114,2008.0,38,27,27,24.3
50,48.0,79,1998.0,39,1,46,11.455
