company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Martin Defense Group,mdefensegroup.com,Honolulu,HI,United States,64,http://www.linkedin.com/company/martin-defense-group,1979,Research,749,6528000,1,,,,,,,https://www.growjo.com/company/Martin_Defense_Group,https://www.indeed.com/jobs?q=company%3A(Martin Defense Group),106%,For Contact Direct Phone Numbers and Emails see Lead411
RevaComm,revacomm.com,Urban Honolulu,HI,United States,58,http://www.linkedin.com/company/revacomm,1990,Tech Services,1029,8410000,1,,,,,,,https://www.growjo.com/company/RevaComm,https://www.indeed.com/jobs?q=company%3A(RevaComm),123%,For Contact Direct Phone Numbers and Emails see Lead411
Galapagos Federal Systems,galapagosllc.com,Kihei,HI,United States,35,http://www.linkedin.com/company/galapagos-federal-systems,2017,Tech Services,1358,5075000,1,,,,,,,https://www.growjo.com/company/Galapagos_Federal_Systems,https://www.indeed.com/jobs?q=company%3A(Galapagos Federal Systems),106%,For Contact Direct Phone Numbers and Emails see Lead411
Squared Away,gosquaredaway.com,Kailua,HI,United States,143,http://www.linkedin.com/company/gosquaredaway,2017,Consumer,1454,35893000,1,,,,,,,https://www.growjo.com/company/Squared_Away,https://www.indeed.com/jobs?q=company%3A(Squared Away),77%,For Contact Direct Phone Numbers and Emails see Lead411
The Institute for Human Services,ihshawaii.org,Honolulu,HI,United States,101,http://www.linkedin.com/company/the-institute-for-human-services,1978,NonProfit,1591,,1,,,,,,,https://www.growjo.com/company/The_Institute_for_Human_Services,https://www.indeed.com/jobs?q=company%3A(The Institute for Human Services),29%,For Contact Direct Phone Numbers and Emails see Lead411
Aligned Mortgage,alignedmortgage.com,Waipio,HI,United States,136,http://www.linkedin.com/company/aligned-mortgage,2017,Finance,2309,28560000,1,,,,,,,https://www.growjo.com/company/Aligned_Mortgage,https://www.indeed.com/jobs?q=company%3A(Aligned Mortgage),55%,For Contact Direct Phone Numbers and Emails see Lead411
GSI Service Group,gsi-companies.com,Honolulu,HI,United States,70,http://www.linkedin.com/company/gsi-service-group,2007,Construction,3127,20300000,1,,,,,,,https://www.growjo.com/company/GSI_Service_Group,https://www.indeed.com/jobs?q=company%3A(GSI Service Group),40%,For Contact Direct Phone Numbers and Emails see Lead411
Ohana Pacific Management Co,ohanapacific.com,Kaneohe,HI,United States,59,http://www.linkedin.com/company/ohana-pacific-management-co,1985,Hospital/Healthcare,4759,15930000,1,,,,,,,https://www.growjo.com/company/Ohana_Pacific_Management_Co,https://www.indeed.com/jobs?q=company%3A(Ohana Pacific Management Co),37%,For Contact Direct Phone Numbers and Emails see Lead411
Big City Diner,bigcitydinerhawaii.com,Honolulu,HI,United States,62,http://www.linkedin.com/company/big-city-diner,1998,Restaurants,4944,10850000,1,,,,,,,https://www.growjo.com/company/Big_City_Diner,https://www.indeed.com/jobs?q=company%3A(Big City Diner),24%,For Contact Direct Phone Numbers and Emails see Lead411
YWCA O'ahu,ywcaoahu.org,Honolulu,HI,United States,39,http://www.linkedin.com/company/ywca-o'ahu,1900,NonProfit,5013,,1,,,,,,,https://www.growjo.com/company/YWCA_O'ahu,https://www.indeed.com/jobs?q=company%3A(YWCA O'ahu),34%,For Contact Direct Phone Numbers and Emails see Lead411
Hawaii Care Choices,hawaiicarechoices.org,Hilo,HI,United States,39,http://www.linkedin.com/company/hospice-of-hilo,1983,Hospital/Healthcare,5014,10530000,1,,,,,,,https://www.growjo.com/company/Hawaii_Care_Choices,https://www.indeed.com/jobs?q=company%3A(Hawaii Care Choices),34%,For Contact Direct Phone Numbers and Emails see Lead411
Tiki's Grill & Bar,tikisgrill.com,Honolulu,HI,United States,73,http://www.linkedin.com/company/tiki's-grill-&-bar,2001,Restaurants,5025,12775000,1,,,,,,,https://www.growjo.com/company/Tiki's_Grill_&_Bar,https://www.indeed.com/jobs?q=company%3A(Tiki's Grill & Bar),24%,For Contact Direct Phone Numbers and Emails see Lead411
Hawaiian Humane Society,hawaiianhumane.org,Honolulu,HI,United States,78,http://www.linkedin.com/company/hawaiian-humane-society,1883,NonProfit,5393,,1,,,,,,,https://www.growjo.com/company/Hawaiian_Humane_Society,https://www.indeed.com/jobs?q=company%3A(Hawaiian Humane Society),22%,For Contact Direct Phone Numbers and Emails see Lead411
Venture Sotheby's International Realty Hawai'i,venturesir.com,Kailua-Kona,HI,United States,60,http://www.linkedin.com/company/macarthur-&-company-sotheby's-international-realty,1989,Real Estate,5736,,1,,,,,,,https://www.growjo.com/company/Venture_Sotheby's_International_Realty_Hawai'i,https://www.indeed.com/jobs?q=company%3A(Venture Sotheby's International Realty Hawai'i),20%,For Contact Direct Phone Numbers and Emails see Lead411
Kupu,kupuhawaii.org,Honolulu,HI,United States,100,http://www.linkedin.com/company/kupu,2007,Environmental,5750,21000000,1,"Energy,Human Resources Hr",,,B2C,,,https://www.growjo.com/company/Kupu,https://www.indeed.com/jobs?q=company%3A(Kupu),20%,For Contact Direct Phone Numbers and Emails see Lead411
Kahuku Medical Center,kmc-hi.org,Kahuku,HI,United States,66,http://www.linkedin.com/company/kahuku-medical-center,2008,Hospital/Healthcare,5759,17820000,1,,,,,,,https://www.growjo.com/company/Kahuku_Medical_Center,https://www.indeed.com/jobs?q=company%3A(Kahuku Medical Center),20%,For Contact Direct Phone Numbers and Emails see Lead411
"DB INSURANCE CO., LTD. (U.S. BRANCH)",dbinsus.com,Honolulu,HI,United States,51,http://www.linkedin.com/company/db-insurance-co-ltd-u-s-branch,1962,Insurance,6218,11220000,1,,,,,,,"https://www.growjo.com/company/DB_INSURANCE_CO.,_LTD._(U.S._BRANCH)","https://www.indeed.com/jobs?q=company%3A(DB INSURANCE CO., LTD. (U.S. BRANCH))",28%,For Contact Direct Phone Numbers and Emails see Lead411
Referentia Systems Incorporated,referentia.com,Urban Honolulu,HI,United States,52,http://www.linkedin.com/company/referentia-systems-inc.,1996,Tech Services,6324,7540000,1,,,,,,,https://www.growjo.com/company/Referentia_Systems_Incorporated,https://www.indeed.com/jobs?q=company%3A(Referentia Systems Incorporated),27%,For Contact Direct Phone Numbers and Emails see Lead411
Elite Parking Hawaii,eliteparking.net,Honolulu,HI,United States,64,http://www.linkedin.com/company/eliteparkinghawaii,1992,Hospitality,6463,16256000,1,,,,,,,https://www.growjo.com/company/Elite_Parking_Hawaii,https://www.indeed.com/jobs?q=company%3A(Elite Parking Hawaii),16%,For Contact Direct Phone Numbers and Emails see Lead411
Hitachi Rail Honolulu JV,sts.hitachirail.com,Honolulu,HI,United States,113,http://www.linkedin.com/company/hitachi-honolulu-jv,2009,Transportation,6535,37064000,1,,,,,,,https://www.growjo.com/company/Hitachi_Rail_Honolulu_JV,https://www.indeed.com/jobs?q=company%3A(Hitachi Rail Honolulu JV),16%,For Contact Direct Phone Numbers and Emails see Lead411
Sun Noodle,sunnoodle.com,Honolulu,HI,United States,43,http://www.linkedin.com/company/sun-noodle,1981,Food,6713,11610000,1,,,,,,,https://www.growjo.com/company/Sun_Noodle,https://www.indeed.com/jobs?q=company%3A(Sun Noodle),23%,For Contact Direct Phone Numbers and Emails see Lead411
American Marine Corporation,amarinecorp.com,Honolulu,HI,United States,46,http://www.linkedin.com/company/american-marine-corporation,,Maritime,6947,12190000,1,,,,,,,https://www.growjo.com/company/American_Marine_Corporation,https://www.indeed.com/jobs?q=company%3A(American Marine Corporation),21%,For Contact Direct Phone Numbers and Emails see Lead411
Bishop & Company,bishopco.net,Honolulu,HI,United States,47,http://www.linkedin.com/company/bishop-&-company-inc-,2005,Recruiting,7360,5640000,1,,,,,,,https://www.growjo.com/company/Bishop_&_Company,https://www.indeed.com/jobs?q=company%3A(Bishop & Company),18%,For Contact Direct Phone Numbers and Emails see Lead411
Klassroom,klassroom.com,Honolulu,HI,United States,107,http://www.linkedin.com/company/klassroomed,2019,Education,7587,19260000,1,,,,,,,https://www.growjo.com/company/Klassroom,https://www.indeed.com/jobs?q=company%3A(Klassroom),7%,For Contact Direct Phone Numbers and Emails see Lead411
Coldwell Banker Island Properties,islandproperties.com,Kihei,HI,United States,259,http://www.linkedin.com/company/coldwell-banker-island-properties,,Real Estate,7590,,1,,,,,,,https://www.growjo.com/company/Coldwell_Banker_Island_Properties,https://www.indeed.com/jobs?q=company%3A(Coldwell Banker Island Properties),7%,For Contact Direct Phone Numbers and Emails see Lead411
