company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Cavista,cavistatech.com,Dallas,TX,United States,165,http://www.linkedin.com/company/cavista,,IT Consulting,1,,5,,,,,,,https://www.growjo.com/company/Cavista,https://www.indeed.com/jobs?q=company%3A(Cavista),560%,For Contact Direct Phone Numbers and Emails see Lead411
Homeward,homeward.com,Austin,TX,United States,200,http://www.linkedin.com/company/thehomewardway,2018,Real Estate,1,,30,saas,,,,,$130M,https://www.growjo.com/company/Homeward,https://www.indeed.com/jobs?q=company%3A(Homeward),344%,For Contact Direct Phone Numbers and Emails see Lead411
ZenBusiness PBC,zenbusiness.com,Austin,TX,United States,132,http://www.linkedin.com/company/zenbusiness-inc.,2015,eCommerceTech,2,19140000,8,"B2B, Machine Learning, E-Commerce Platforms",,,,,$74.5M,https://www.growjo.com/company/ZenBusiness_PBC,https://www.indeed.com/jobs?q=company%3A(ZenBusiness PBC),187%,For Contact Direct Phone Numbers and Emails see Lead411
Slync.io,slync.io,Dallas,TX,United States,67,http://www.linkedin.com/company/slyncio,2017,Tech Services,2,9715000,13,"Supply Chain Management, Data Integration, Logistics, Workflow",,,,,$75.9M,https://www.growjo.com/company/Slync.io,https://www.indeed.com/jobs?q=company%3A(Slync.io),179%,For Contact Direct Phone Numbers and Emails see Lead411
EverlyWell,everlywell.com,Austin,TX,United States,270,http://www.linkedin.com/company/everlywell,2015,Digital Health,3,72900000,60,"Fitness and Wellness,Healthcare","Highland Capital Partners, Next Coast Ventures, SoGal Ventures",,B2C,1300000000,$325M,https://www.growjo.com/company/EverlyWell,https://www.indeed.com/jobs?q=company%3A(EverlyWell),155%,For Contact Direct Phone Numbers and Emails see Lead411
Upland Software,uplandsoftware.com,Austin,TX,United States,833,http://www.linkedin.com/company/upland-software,2012,Tech Services,4,260160000,28,saas,,,,,$721.4M,https://www.growjo.com/company/Upland_Software,https://www.indeed.com/jobs?q=company%3A(Upland Software),5%,For Contact Direct Phone Numbers and Emails see Lead411
Buff City Soap,buffcitysoap.com,Bartlett,TX,United States,223,http://www.linkedin.com/company/buff-city-soap,,Cosmetics,36,,31,,,,,,,https://www.growjo.com/company/Buff_City_Soap,https://www.indeed.com/jobs?q=company%3A(Buff City Soap),175%,For Contact Direct Phone Numbers and Emails see Lead411
GoExpedi,goexpedi.com,Houston,TX,United States,126,http://www.linkedin.com/company/goexpedi,2017,Energy/Oil,1,30870000,18,saas,,,,,$75.3M,https://www.growjo.com/company/GoExpedi,https://www.indeed.com/jobs?q=company%3A(GoExpedi),73%,For Contact Direct Phone Numbers and Emails see Lead411
Jungle Scout,junglescout.com,Austin,TX,United States,192,http://www.linkedin.com/company/junglescout,2015,Salestech,5,17835000,58,"sales, saas, data",,,,,$110M,https://www.growjo.com/company/Jungle_Scout,https://www.indeed.com/jobs?q=company%3A(Jungle Scout),71%,For Contact Direct Phone Numbers and Emails see Lead411
Array,trustarray.com,Austin,TX,United States,67,http://www.linkedin.com/company/trustarray,2020,Legal,6,18090000,3,,,,,,,https://www.growjo.com/company/Array,https://www.indeed.com/jobs?q=company%3A(Array),294%,For Contact Direct Phone Numbers and Emails see Lead411
Overhaul,over-haul.com,Austin,TX,United States,101,http://www.linkedin.com/company/overhaul-inc.,2016,Logistics,7,30805000,30,,,,,,$29M,https://www.growjo.com/company/Overhaul,https://www.indeed.com/jobs?q=company%3A(Overhaul),53%,For Contact Direct Phone Numbers and Emails see Lead411
AccessDx Lab,accessdxlab.com,Houston,TX,United States,69,http://www.linkedin.com/company/access-dx-lab,2016,Biotech,3,10695000,1,,,,,,,https://www.growjo.com/company/AccessDx_Lab,https://www.indeed.com/jobs?q=company%3A(AccessDx Lab),283%,For Contact Direct Phone Numbers and Emails see Lead411
Olly Olly,ollyolly.com,Austin,TX,United States,95,http://www.linkedin.com/company/olly-olly,2007,Marketing,8,23750000,4,,,,,,,https://www.growjo.com/company/Olly_Olly,https://www.indeed.com/jobs?q=company%3A(Olly Olly),280%,For Contact Direct Phone Numbers and Emails see Lead411
Living Security,livingsecurity.com,Austin,TX,United States,60,http://www.linkedin.com/company/livingsecurity,2017,EdTech,9,8700000,9,"B2B, Education, Security, Cyber Security",,,,,$20.3M,https://www.growjo.com/company/Living_Security,https://www.indeed.com/jobs?q=company%3A(Living Security),107%,For Contact Direct Phone Numbers and Emails see Lead411
Match Group,mtch.com,University Park,TX,United States,214,http://www.linkedin.com/company/matchgroup,,Tech Services,61,31030000,64,,,,,,,https://www.growjo.com/company/Match_Group,https://www.indeed.com/jobs?q=company%3A(Match Group),35%,For Contact Direct Phone Numbers and Emails see Lead411
TimelyMD,timely.md,Fort Worth,TX,United States,95,http://www.linkedin.com/company/timelymd,,Hospital/Healthcare,3,25650000,4,,,,,,$65.7M,https://www.growjo.com/company/TimelyMD,https://www.indeed.com/jobs?q=company%3A(TimelyMD),197%,For Contact Direct Phone Numbers and Emails see Lead411
The Zebra,thezebra.com,Austin,TX,United States,289,http://www.linkedin.com/company/the-zebra,2012,Fintech,10,63580000,25,"Marketplace,Consumer Services,E-Commerce,Finance,Insurance","Silverton Partners, Accel, Ballast Point Ventures",,B2B,1000000000,$256.5M,https://www.growjo.com/company/The_Zebra,https://www.indeed.com/jobs?q=company%3A(The Zebra),45%,For Contact Direct Phone Numbers and Emails see Lead411
OnlineMedEd,onlinemeded.org,Austin,TX,United States,79,http://www.linkedin.com/company/onlinemeded,2012,EdTech,11,13035000,11,"Education, Training, Corporate Training, Deep Learning",,,,,$25M,https://www.growjo.com/company/OnlineMedEd,https://www.indeed.com/jobs?q=company%3A(OnlineMedEd),36%,For Contact Direct Phone Numbers and Emails see Lead411
ICON,iconbuild.com,Austin,TX,United States,64,http://www.linkedin.com/company/iconbuild,2017,Construction,12,18560000,1,,,,,,$59.5M,https://www.growjo.com/company/ICON,https://www.indeed.com/jobs?q=company%3A(ICON),88%,For Contact Direct Phone Numbers and Emails see Lead411
Liongard,liongard.com,Houston,TX,United States,87,http://www.linkedin.com/company/liongard,2015,Tech Services,4,12615000,1,,,,,,$22.8M,https://www.growjo.com/company/Liongard,https://www.indeed.com/jobs?q=company%3A(Liongard),81%,For Contact Direct Phone Numbers and Emails see Lead411
DISCO,csdisco.com,Austin,TX,United States,377,http://www.linkedin.com/company/cs-disco-llc,2012,Legaltech,13,52780000,58,"eDiscovery, Processing, and Document review, saas",LiveOak Venture Partners and Bessemer Venture Partners,,,,$233.6M,https://www.growjo.com/company/DISCO,https://www.indeed.com/jobs?q=company%3A(DISCO),4%,For Contact Direct Phone Numbers and Emails see Lead411
DataBank,databank.com,Dallas,TX,United States,347,http://www.linkedin.com/company/databank,2005,Tech Services,4,50315000,7,saas,,,,,$185M,https://www.growjo.com/company/DataBank,https://www.indeed.com/jobs?q=company%3A(DataBank),45%,For Contact Direct Phone Numbers and Emails see Lead411
Self Financial,self.inc,Austin,TX,United States,165,http://www.linkedin.com/company/self-financial,2015,Fintech,14,21450000,24,"Financial Services, Consumer, Fin Tech, Financial Technology",,,,,$77M,https://www.growjo.com/company/Self_Financial,https://www.indeed.com/jobs?q=company%3A(Self Financial),67%,For Contact Direct Phone Numbers and Emails see Lead411
Interplay Learning,interplaylearning.com,Austin,TX,United States,79,http://www.linkedin.com/company/interplaylearning,2010,Learning,15,13035000,8,,,,,,$24.5M,https://www.growjo.com/company/Interplay_Learning,https://www.indeed.com/jobs?q=company%3A(Interplay Learning),68%,For Contact Direct Phone Numbers and Emails see Lead411
