company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Interapt,interapt.com,Louisville,KY,United States,108,http://www.linkedin.com/company/interapt,2009,Tech Services,2671,15660000,1,,,,,,,https://www.growjo.com/company/Interapt,https://www.indeed.com/jobs?q=company%3A(Interapt),48%,For Contact Direct Phone Numbers and Emails see Lead411
Pivot Realty Group,pivotrealtycareers.com,Ft. Wright,KY,United States,69,http://www.linkedin.com/company/pivotrealty,2006,Real Estate,2884,,1,,,,,,,https://www.growjo.com/company/Pivot_Realty_Group,https://www.indeed.com/jobs?q=company%3A(Pivot Realty Group),44%,For Contact Direct Phone Numbers and Emails see Lead411
Bluewater Diagnostic Laboratory,bluewatertoxicology.com,Mount Washington,KY,United States,49,http://www.linkedin.com/company/bluewaterdx,,Hospital/Healthcare,3006,13230000,1,,,,,,,https://www.growjo.com/company/Bluewater_Diagnostic_Laboratory,https://www.indeed.com/jobs?q=company%3A(Bluewater Diagnostic Laboratory),58%,For Contact Direct Phone Numbers and Emails see Lead411
Stockton Mortgage Corporation,smcapproved.com,Frankfort,KY,United States,211,http://www.linkedin.com/company/stockton-mortgage,2001,Banking,3066,44310000,1,,,,,,,https://www.growjo.com/company/Stockton_Mortgage_Corporation,https://www.indeed.com/jobs?q=company%3A(Stockton Mortgage Corporation),42%,For Contact Direct Phone Numbers and Emails see Lead411
Drake's,drakescomeplay.com,Lexington,KY,United States,63,http://www.linkedin.com/company/drakescomeplay,2009,Restaurants,3112,11025000,1,,,,,,,https://www.growjo.com/company/Drake's,https://www.indeed.com/jobs?q=company%3A(Drake's),40%,For Contact Direct Phone Numbers and Emails see Lead411
US Framing,usframing.com,Jeffersontown,KY,United States,89,http://www.linkedin.com/company/usframing,1994,Construction,3426,25810000,1,,,,,,,https://www.growjo.com/company/US_Framing,https://www.indeed.com/jobs?q=company%3A(US Framing),37%,For Contact Direct Phone Numbers and Emails see Lead411
Rootstack,rootstack.com,Louisville,KY,United States,60,http://www.linkedin.com/company/rootstack,2011,Tech Services,3433,8700000,1,,,,,,,https://www.growjo.com/company/Rootstack,https://www.indeed.com/jobs?q=company%3A(Rootstack),36%,For Contact Direct Phone Numbers and Emails see Lead411
Inked. Influencer Commerce.,inkedbrands.com,Bowling Green,KY,United States,53,http://www.linkedin.com/company/inked.-a-brand-collective.,2009,Consumer,3455,13303000,1,,,,,,$10M,https://www.growjo.com/company/Inked._Influencer_Commerce.,https://www.indeed.com/jobs?q=company%3A(Inked. Influencer Commerce.),51%,For Contact Direct Phone Numbers and Emails see Lead411
Lexington-Fayette County Health Department LFCHD,lexingtonhealthdepartment.org,Lexington,KY,United States,94,http://www.linkedin.com/company/lfchd,1904,Health,3495,25380000,1,,,,,,,https://www.growjo.com/company/Lexington-Fayette_County_Health_Department_LFCHD,https://www.indeed.com/jobs?q=company%3A(Lexington-Fayette County Health Department LFCHD),36%,For Contact Direct Phone Numbers and Emails see Lead411
University of Louisville College of Business,business.louisville.edu,Louisville,KY,United States,65,http://www.linkedin.com/company/uoflbiz,1798,Education,3535,11700000,1,,,,,,,https://www.growjo.com/company/University_of_Louisville_College_of_Business,https://www.indeed.com/jobs?q=company%3A(University of Louisville College of Business),35%,For Contact Direct Phone Numbers and Emails see Lead411
