company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Monogram Health,monogramhealth.com,Nashville,TN,United States,55,http://www.linkedin.com/company/monogram-health,2019,Hospital/Healthcare,1,14850000,1,,,,,,$12M,https://www.growjo.com/company/Monogram_Health,https://www.indeed.com/jobs?q=company%3A(Monogram Health),206%,For Contact Direct Phone Numbers and Emails see Lead411
ReNuke Services,renuke.com,Oak Ridge,TN ,Tunisia,59,http://www.linkedin.com/company/renuke-services,2006,Utilities,5638,12980000,1,,,,,,,https://www.growjo.com/company/ReNuke_Services,https://www.indeed.com/jobs?q=company%3A(ReNuke Services),31%,For Contact Direct Phone Numbers and Emails see Lead411
AltoIRA,altoira.com,Nashville,TN,United States,56,http://www.linkedin.com/company/altoira,2016,Fintech,2,7280000,6,"fintech, saas",,,,,$30.3M,https://www.growjo.com/company/AltoIRA,https://www.indeed.com/jobs?q=company%3A(AltoIRA),124%,For Contact Direct Phone Numbers and Emails see Lead411
simpliHŌM,hom.group,Murfreesboro,TN,United States,95,http://www.linkedin.com/company/simplihom,2018,Real Estate,3,,1,,,,,,,https://www.growjo.com/company/simpliHŌM,https://www.indeed.com/jobs?q=company%3A(simpliHŌM),197%,For Contact Direct Phone Numbers and Emails see Lead411
Soundstripe,soundstripe.com,Nashville,TN,United States,73,http://www.linkedin.com/company/soundstripe,2015,Music,4,,1,"E-Commerce, Music, Film, Film Production",,,,,$6M,https://www.growjo.com/company/Soundstripe,https://www.indeed.com/jobs?q=company%3A(Soundstripe),18%,For Contact Direct Phone Numbers and Emails see Lead411
Groups360,Groups360.com,Brentwood,TN,United States,67,http://www.linkedin.com/company/groups360,2014,Hospitality,5,17018000,1,"E-Commerce, Analytics, Marketplaces, Hospitality",,,,,$55.5M,https://www.growjo.com/company/Groups360,https://www.indeed.com/jobs?q=company%3A(Groups360),5%,For Contact Direct Phone Numbers and Emails see Lead411
IVX Health,ivxhealth.com,Brentwood,TN,United States,108,http://www.linkedin.com/company/ivx-health,2013,Medical Offices,6,29160000,1,,,,,,$36.3M,https://www.growjo.com/company/IVX_Health,https://www.indeed.com/jobs?q=company%3A(IVX Health),61%,For Contact Direct Phone Numbers and Emails see Lead411
Blueprint Title Company,blueprinttitle.com,Nashville,TN,United States,76,http://www.linkedin.com/company/blueprint-title,,Real Estate Tech,7,,1,"Real Estate, Legal, Real Estate Investors, Real Estate Technology, Legal Tech",,,,,,https://www.growjo.com/company/Blueprint_Title_Company,https://www.indeed.com/jobs?q=company%3A(Blueprint Title Company),153%,For Contact Direct Phone Numbers and Emails see Lead411
KaTom Restaurant Supply,katom.com,Kodak,TN,United States,129,http://www.linkedin.com/company/katom-restaurant-supply-inc-,1987,Wholesale,398,,1,"E-Commerce,Food & Beverages",,,B2B,,$12.6M,https://www.growjo.com/company/KaTom_Restaurant_Supply,https://www.indeed.com/jobs?q=company%3A(KaTom Restaurant Supply),11%,For Contact Direct Phone Numbers and Emails see Lead411
Qualifacts,qualifacts.com,Nashville,TN,United States,281,http://www.linkedin.com/company/qualifacts,2000,Tech Services,8,40745000,1,saas,,,,,,https://www.growjo.com/company/Qualifacts,https://www.indeed.com/jobs?q=company%3A(Qualifacts),5%,For Contact Direct Phone Numbers and Emails see Lead411
Trident Transport,tridenttransport.com,Chattanooga,TN,United States,139,http://www.linkedin.com/company/trident-transport,2013,Logistics,520,42395000,1,,,,,,,https://www.growjo.com/company/Trident_Transport,https://www.indeed.com/jobs?q=company%3A(Trident Transport),40%,For Contact Direct Phone Numbers and Emails see Lead411
Alpha Metallurgical Resources,alphametresources.com,Bristol,TN,United States,85,http://www.linkedin.com/company/alpha-metallurgical-resources,,Mining,543,20825000,1,,,,,,,https://www.growjo.com/company/Alpha_Metallurgical_Resources,https://www.indeed.com/jobs?q=company%3A(Alpha Metallurgical Resources),124%,For Contact Direct Phone Numbers and Emails see Lead411
Celero Commerce,celerocommerce.com,Brentwood,TN,United States,111,http://www.linkedin.com/company/celerocommerce,,Finance,9,23310000,1,,,,,,,https://www.growjo.com/company/Celero_Commerce,https://www.indeed.com/jobs?q=company%3A(Celero Commerce),79%,For Contact Direct Phone Numbers and Emails see Lead411
Relatient,relatient.net,Franklin,TN,United States,132,http://www.linkedin.com/company/relatient,2014,Hospital/Healthcare,10,35640000,15,,,,,,,https://www.growjo.com/company/Relatient,https://www.indeed.com/jobs?q=company%3A(Relatient),12%,For Contact Direct Phone Numbers and Emails see Lead411
Sidekick Therapy Partners,mysidekicktherapy.com,Knoxville,TN,United States,93,http://www.linkedin.com/company/deborah-l-curlee-communication,1981,Hospital/Healthcare,690,25110000,1,,,,,,,https://www.growjo.com/company/Sidekick_Therapy_Partners,https://www.indeed.com/jobs?q=company%3A(Sidekick Therapy Partners),111%,For Contact Direct Phone Numbers and Emails see Lead411
Red Stag Fulfillment,redstagfulfillment.com,Knoxville,TN,United States,69,http://www.linkedin.com/company/red-stag-fulfillment,2013,Logistics,717,21045000,1,,,,,,,https://www.growjo.com/company/Red_Stag_Fulfillment,https://www.indeed.com/jobs?q=company%3A(Red Stag Fulfillment),109%,For Contact Direct Phone Numbers and Emails see Lead411
Adams Bridge Global,adamsbridge.com,Nashville,TN,United States,69,http://www.linkedin.com/company/adams-bridge-global,2018,Real Estate Tech,11,,1,"Data Mining, Big Data Analytics, Real Estate Technology, Insurtech",,,,,,https://www.growjo.com/company/Adams_Bridge_Global,https://www.indeed.com/jobs?q=company%3A(Adams Bridge Global),109%,For Contact Direct Phone Numbers and Emails see Lead411
Churchill Mortgage Corporation NMLS # 1591,churchillmortgage.com,Brentwood,TN,United States,719,http://www.linkedin.com/company/churchill-mortgage,1992,Finance,12,150990000,2,"Banking,Finance",,,,,,https://www.growjo.com/company/Churchill_Mortgage_Corporation_NMLS_#_1591,https://www.indeed.com/jobs?q=company%3A(Churchill Mortgage Corporation NMLS # 1591),26%,For Contact Direct Phone Numbers and Emails see Lead411
Vanderbilt University School of Engineering,engineering.vanderbilt.edu,Nashville,TN,United States,68,http://www.linkedin.com/company/vanderbiltengineering,1886,Education,13,12240000,1,,,,,,,https://www.growjo.com/company/Vanderbilt_University_School_of_Engineering,https://www.indeed.com/jobs?q=company%3A(Vanderbilt University School of Engineering),106%,For Contact Direct Phone Numbers and Emails see Lead411
Sidekick Therapy Partners,mysidekicktherapy.com,Knoxville,TN,United States,90,http://www.linkedin.com/company/sidekicktherapypartners,1981,Hospital/Healthcare,788,24300000,1,,,,,,,https://www.growjo.com/company/Sidekick_Therapy_Partners,https://www.indeed.com/jobs?q=company%3A(Sidekick Therapy Partners),105%,For Contact Direct Phone Numbers and Emails see Lead411
FreightWaves,freightwaves.com,Chattanooga,TN,United States,177,http://www.linkedin.com/company/freightwaves,2017,Transportation,842,58056000,21,,8VC,,,,$76.4M,https://www.growjo.com/company/FreightWaves,https://www.indeed.com/jobs?q=company%3A(FreightWaves),20%,For Contact Direct Phone Numbers and Emails see Lead411
"Railroad Consultants,",railroad-consultants.com,Murfreesboro,TN,United States,40,http://www.linkedin.com/company/railroad-consultants,2013,Engineering,14,4000000,1,,,,,,,"https://www.growjo.com/company/Railroad_Consultants,","https://www.indeed.com/jobs?q=company%3A(Railroad Consultants,)",135%,For Contact Direct Phone Numbers and Emails see Lead411
CareBridge,carebridgehealth.com,Nashville,TN,United States,56,http://www.linkedin.com/company/carebridge-health,2019,Hospital/Healthcare,15,15120000,1,,,,,,,https://www.growjo.com/company/CareBridge,https://www.indeed.com/jobs?q=company%3A(CareBridge),133%,For Contact Direct Phone Numbers and Emails see Lead411
Stratasan,stratasan.com,Nashville,TN,United States,67,http://www.linkedin.com/company/stratasan,2010,Martech,16,8265000,2,,,,,,$27.2M,https://www.growjo.com/company/Stratasan,https://www.indeed.com/jobs?q=company%3A(Stratasan),22%,For Contact Direct Phone Numbers and Emails see Lead411
Airxcel,airxcel.com,Wichita,TN,United States,125,http://www.linkedin.com/company/airxcel-inc,1997,Electronics,993,30625000,1,,,,,,,https://www.growjo.com/company/Airxcel,https://www.indeed.com/jobs?q=company%3A(Airxcel),23%,For Contact Direct Phone Numbers and Emails see Lead411
Xpress Technologies,xpresstechfreight.com,Chattanooga,TN,United States,131,http://www.linkedin.com/company/xpresstechfreight,2020,Transportation,1076,42968000,1,,,,,,,https://www.growjo.com/company/Xpress_Technologies,https://www.indeed.com/jobs?q=company%3A(Xpress Technologies),90%,For Contact Direct Phone Numbers and Emails see Lead411
Forward Counseling,forwardcounseling.com,Memphis,TN,United States,46,http://www.linkedin.com/company/forward-counseling,,Hospital/Healthcare,1095,12420000,1,,,,,,,https://www.growjo.com/company/Forward_Counseling,https://www.indeed.com/jobs?q=company%3A(Forward Counseling),119%,For Contact Direct Phone Numbers and Emails see Lead411
Clayton Supply,claytonhomes.com,Maryville,TN,United States,69,http://www.linkedin.com/company/clayton-supplygroup,,Real Estate,1225,,1,,,,,,,https://www.growjo.com/company/Clayton_Supply,https://www.indeed.com/jobs?q=company%3A(Clayton Supply),41%,For Contact Direct Phone Numbers and Emails see Lead411
axialHealthcare,axialhealthcare.com,Nashville,TN,United States,105,http://www.linkedin.com/company/axial-healthcare,2012,Digital Health,17,28350000,6,"Analytics,Enterprise Software,Finance,Fitness and Wellness,Health It,Healthcare,Human Resources Hr,Insurance,Pharmaceuticals",Oak HC/FT,,B2B,,$41.3M,https://www.growjo.com/company/axialHealthcare,https://www.indeed.com/jobs?q=company%3A(axialHealthcare),6%,For Contact Direct Phone Numbers and Emails see Lead411
JumpCrew,jumpcrew.com,Nashville,TN,United States,302,http://www.linkedin.com/company/jumpcrew,2016,Martech,18,79000000,19,"marketing, saas saas",Hinsdale LLC,,,,$15.9M,https://www.growjo.com/company/JumpCrew,https://www.indeed.com/jobs?q=company%3A(JumpCrew),5%,For Contact Direct Phone Numbers and Emails see Lead411
DCS - Designed Conveyor Systems,dcs-innovation.com,Franklin,TN,United States,113,http://www.linkedin.com/company/dcs-designed-conveyor-systems,1982,Logistics,19,34465000,1,,,,,,,https://www.growjo.com/company/DCS_-_Designed_Conveyor_Systems,https://www.indeed.com/jobs?q=company%3A(DCS - Designed Conveyor Systems),77%,For Contact Direct Phone Numbers and Emails see Lead411
