company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Medical Properties Trust,medicalpropertiestrust.com,Birmingham,AL,United States,85,http://www.linkedin.com/company/medical-properties-trust-inc,2004,Hospital/Healthcare,86,22950000,1,,,,,,$1.9B,https://www.growjo.com/company/Medical_Properties_Trust,https://www.indeed.com/jobs?q=company%3A(Medical Properties Trust),31%,For Contact Direct Phone Numbers and Emails see Lead411
BLOX,bloxbuilt.com,Bessemer,AL,United States,175,http://www.linkedin.com/company/blox,2009,Construction,176,50750000,27,"Construction,Hardware,Hardware Peripherals",,,,,,https://www.growjo.com/company/BLOX,https://www.indeed.com/jobs?q=company%3A(BLOX),26%,For Contact Direct Phone Numbers and Emails see Lead411
Dynetics Technical Solutions,dynetics.com,Huntsville,AL,United States,192,http://www.linkedin.com/company/dynetics-technical-services-inc-,2010,Tech Services,259,27840000,1,"Biotechnology,Hardware,Hardware Peripherals,Physical Security,Security",,,,,$46.9M,https://www.growjo.com/company/Dynetics_Technical_Solutions,https://www.indeed.com/jobs?q=company%3A(Dynetics Technical Solutions),36%,For Contact Direct Phone Numbers and Emails see Lead411
Eiffage Kier Ferrovial BAM,ekfb.com,Birmingham,AL,United Kingdom,338,http://www.linkedin.com/company/ekfb,,Engineering,351,33800000,1,,,,,,,https://www.growjo.com/company/Eiffage_Kier_Ferrovial_BAM,https://www.indeed.com/jobs?q=company%3A(Eiffage Kier Ferrovial BAM),154%,For Contact Direct Phone Numbers and Emails see Lead411
SiO2 Material Science,sio2ms.com,Auburn,AL,United States,189,http://www.linkedin.com/company/sio2ms,,Biotech,557,29295000,1,,,,,,$48M,https://www.growjo.com/company/SiO2_Material_Science,https://www.indeed.com/jobs?q=company%3A(SiO2 Material Science),51%,For Contact Direct Phone Numbers and Emails see Lead411
Creature,creaturebuilds.com,Birmingham,AL,United States,46,http://www.linkedin.com/company/creaturebuilds,1997,Construction,625,13340000,1,,,,,,,https://www.growjo.com/company/Creature,https://www.indeed.com/jobs?q=company%3A(Creature),156%,For Contact Direct Phone Numbers and Emails see Lead411
Homtex,homtex.com,Vinemont,AL,United States,60,http://www.linkedin.com/company/homtexinc,1987,Textiles,648,,1,,,,,,,https://www.growjo.com/company/Homtex,https://www.indeed.com/jobs?q=company%3A(Homtex),71%,For Contact Direct Phone Numbers and Emails see Lead411
Urgent Care for Children,childrensurgent.com,Birmingham,AL,United States,41,http://www.linkedin.com/company/urgent-care-for-children,2017,Hospital/Healthcare,743,11070000,1,,,,,,$2.7M,https://www.growjo.com/company/Urgent_Care_for_Children,https://www.indeed.com/jobs?q=company%3A(Urgent Care for Children),28%,For Contact Direct Phone Numbers and Emails see Lead411
BioGX,biogx.com,Birmingham,AL,United States,75,http://www.linkedin.com/company/biogx,2007,Biotech,767,11625000,1,,,,,,,https://www.growjo.com/company/BioGX,https://www.indeed.com/jobs?q=company%3A(BioGX),63%,For Contact Direct Phone Numbers and Emails see Lead411
CommentSold,commentsold.com,Huntsville,AL,United States,114,http://www.linkedin.com/company/commentsold,2017,eCommerceTech,944,16530000,1,"Social Media, Internet, E-Commerce, Fashion",,,,,,https://www.growjo.com/company/CommentSold,https://www.indeed.com/jobs?q=company%3A(CommentSold),97%,For Contact Direct Phone Numbers and Emails see Lead411
