company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
POWERHOME SOLAR,powerhome.com,Mooresville,NC,United States,378,http://www.linkedin.com/company/powerhomesolar,2014,Environmental,1,79380000,3,,,,,,,https://www.growjo.com/company/POWERHOME_SOLAR,https://www.indeed.com/jobs?q=company%3A(POWERHOME SOLAR),57%,For Contact Direct Phone Numbers and Emails see Lead411
Pendo.io,pendo.io,Raleigh,NC,United States,562,http://www.linkedin.com/company/pendo-io,2013,Tech Services,1,81490000,169,"Enterprise Software,Finance,Real Estate, saas",Sapphire Ventures,,B2B,1000000000,$209.5M,https://www.growjo.com/company/Pendo.io,https://www.indeed.com/jobs?q=company%3A(Pendo.io),22%,For Contact Direct Phone Numbers and Emails see Lead411
Get Spiffy,getspiffy.com,Raleigh-Durham,NC,United States,88,http://www.linkedin.com/company/get-spiffy-inc,2014,Consumer,2,22088000,1,,,,,,$28.1M,https://www.growjo.com/company/Get_Spiffy,https://www.indeed.com/jobs?q=company%3A(Get Spiffy),10%,For Contact Direct Phone Numbers and Emails see Lead411
Javara,javararesearch.com,Winston-Salem,NC,United States,89,http://www.linkedin.com/company/javara,2018,Research,198,9078000,1,,,,,,,https://www.growjo.com/company/Javara,https://www.indeed.com/jobs?q=company%3A(Javara),187%,For Contact Direct Phone Numbers and Emails see Lead411
Levitate,levitate.ai,Raleigh,NC,United States,129,http://www.linkedin.com/company/real-magic,2017,Tech Services,3,18705000,1,saas,,,,,$20M,https://www.growjo.com/company/Levitate,https://www.indeed.com/jobs?q=company%3A(Levitate),93%,For Contact Direct Phone Numbers and Emails see Lead411
Velocity Clinical Research,velocityclinical.com,Durham,NC,United States,124,http://www.linkedin.com/company/velocity-clinical-research,2017,Pharma,4,24924000,1,,,,,,,https://www.growjo.com/company/Velocity_Clinical_Research,https://www.indeed.com/jobs?q=company%3A(Velocity Clinical Research),148%,For Contact Direct Phone Numbers and Emails see Lead411
Spreedly,spreedly.com,Durham,NC,United States,108,http://www.linkedin.com/company/spreedly,2008,Fintech,5,14040000,6,"Banking,Data Storage,E-Commerce,Finance,Human Resources Hr,Mobile,Payments,Software Development,Storage, saas",Emerge,,B2B,,$81.1M,https://www.growjo.com/company/Spreedly,https://www.indeed.com/jobs?q=company%3A(Spreedly),29%,For Contact Direct Phone Numbers and Emails see Lead411
Ekos,goekos.com,Charlotte,NC,United States,63,http://www.linkedin.com/company/goekos,2014,Tech Services,3,9135000,1,,,,,,$8.5M,https://www.growjo.com/company/Ekos,https://www.indeed.com/jobs?q=company%3A(Ekos),26%,For Contact Direct Phone Numbers and Emails see Lead411
EnlivenHealthâ„¢,enlivenhealth.co,Raleigh,NC,United States,63,http://www.linkedin.com/company/enlivenhealth,,Hospital/Healthcare,6,17010000,1,,,,,,,https://www.growjo.com/company/EnlivenHealthâ„¢,https://www.indeed.com/jobs?q=company%3A(EnlivenHealthâ„¢),152%,For Contact Direct Phone Numbers and Emails see Lead411
BioCryst Pharmaceuticals,biocryst.com,Durham,NC,United States,285,http://www.linkedin.com/company/biocryst-pharmaceuticals,1986,Biotech,7,44175000,7,"Biotechnology,Healthcare,Pharmaceuticals",,,B2B,,$581.9M,https://www.growjo.com/company/BioCryst_Pharmaceuticals,https://www.indeed.com/jobs?q=company%3A(BioCryst Pharmaceuticals),48%,For Contact Direct Phone Numbers and Emails see Lead411
insightsoftware,insightsoftware.com,Raleigh,NC,United States,794,http://www.linkedin.com/company/outcomes-by-insightsoftware,2018,Tech Services,8,115130000,28,saas,,,,,,https://www.growjo.com/company/insightsoftware,https://www.indeed.com/jobs?q=company%3A(insightsoftware),2%,For Contact Direct Phone Numbers and Emails see Lead411
Printful,printful.com,Charlotte,NC,United States,543,http://www.linkedin.com/company/printful,2013,Printing,4,,1,saas,,,,,,https://www.growjo.com/company/Printful,https://www.indeed.com/jobs?q=company%3A(Printful),63%,For Contact Direct Phone Numbers and Emails see Lead411
Feedtrail,feedtrail.com,Raleigh,NC,,29,http://www.linkedin.com/company/feedtrail,2015,Digital Health,9,7830000,1,saas,,,,,$2.7M,https://www.growjo.com/company/Feedtrail,https://www.indeed.com/jobs?q=company%3A(Feedtrail),21%,For Contact Direct Phone Numbers and Emails see Lead411
Element451,element451.com,Raleigh,NC,,30,http://www.linkedin.com/company/element451,2017,EdTech,10,5400000,1,"CRM, Marketing Automation, Higher Education",,,,,$4M,https://www.growjo.com/company/Element451,https://www.indeed.com/jobs?q=company%3A(Element451),20%,For Contact Direct Phone Numbers and Emails see Lead411
Rent Ready,rentready.com,Charlotte,NC,United States,50,http://www.linkedin.com/company/rent-ready,2014,Facilities,5,11950000,2,,,,,,$11.5M,https://www.growjo.com/company/Rent_Ready,https://www.indeed.com/jobs?q=company%3A(Rent Ready),16%,For Contact Direct Phone Numbers and Emails see Lead411
StrideBio,stridebio.com,Durham,NC,United States,61,http://www.linkedin.com/company/stridebio,2015,Biotech,11,9455000,1,,,,,,$97.2M,https://www.growjo.com/company/StrideBio,https://www.indeed.com/jobs?q=company%3A(StrideBio),74%,For Contact Direct Phone Numbers and Emails see Lead411
Pairwise Plants,pairwise.com,Durham,NC,United States,94,http://www.linkedin.com/company/pairwise-plants,,Food,12,25380000,1,,,,,,$115M,https://www.growjo.com/company/Pairwise_Plants,https://www.indeed.com/jobs?q=company%3A(Pairwise Plants),2%,For Contact Direct Phone Numbers and Emails see Lead411
Aceyus,aceyus.com,Charlotte,NC,United States,83,http://www.linkedin.com/company/aceyus,2002,Tech Services,6,12035000,1,,,,,,$1.5M,https://www.growjo.com/company/Aceyus,https://www.indeed.com/jobs?q=company%3A(Aceyus),57%,For Contact Direct Phone Numbers and Emails see Lead411
CData Software,cdata.com,Chapel Hill,NC,United States,100,http://www.linkedin.com/company/cdatasoftware,,Tech Services,13,14500000,7,,,,,,$20M,https://www.growjo.com/company/CData_Software,https://www.indeed.com/jobs?q=company%3A(CData Software),22%,For Contact Direct Phone Numbers and Emails see Lead411
Lighthouse Lab Services,lighthouselabservices.com,Apex,NC,United States,141,http://www.linkedin.com/company/lighthouselabservices,2003,Hospital/Healthcare,14,38070000,1,,,,,,,https://www.growjo.com/company/Lighthouse_Lab_Services,https://www.indeed.com/jobs?q=company%3A(Lighthouse Lab Services),124%,For Contact Direct Phone Numbers and Emails see Lead411
LemonBrew,lemonbrew.com,Charlotte,NC,United States,60,http://www.linkedin.com/company/lemonbrew,2018,Real Estate,7,,1,,,,,,,https://www.growjo.com/company/LemonBrew,https://www.indeed.com/jobs?q=company%3A(LemonBrew),122%,For Contact Direct Phone Numbers and Emails see Lead411
Eton Solutions LP,eton-solutions.com,Chapel Hill,NC,United States,138,http://www.linkedin.com/company/eton-solutions,2015,Tech Services,15,20010000,5,saas,,,,,$23.3M,https://www.growjo.com/company/Eton_Solutions_LP,https://www.indeed.com/jobs?q=company%3A(Eton Solutions LP),42%,For Contact Direct Phone Numbers and Emails see Lead411
Mako Medical Laboratories,makomedical.com,Raleigh,NC,United States,375,http://www.linkedin.com/company/mako-medical-laboratories,2014,Hospital/Healthcare,16,101250000,3,,,,,,,https://www.growjo.com/company/Mako_Medical_Laboratories,https://www.indeed.com/jobs?q=company%3A(Mako Medical Laboratories),117%,For Contact Direct Phone Numbers and Emails see Lead411
Mako Medical,makomedical.com,Raleigh,NC,United States,367,http://www.linkedin.com/company/mako-medical,2014,Hospital/Healthcare,17,99090000,1,,,,,,,https://www.growjo.com/company/Mako_Medical,https://www.indeed.com/jobs?q=company%3A(Mako Medical),113%,For Contact Direct Phone Numbers and Emails see Lead411
Vantaca,vantaca.com,Wilmington,NC,United States,79,http://www.linkedin.com/company/vantaca,2016,Tech Services,728,11455000,1,,,,,,,https://www.growjo.com/company/Vantaca,https://www.indeed.com/jobs?q=company%3A(Vantaca),108%,For Contact Direct Phone Numbers and Emails see Lead411
TeleHealth Solutionￃﾢ￢ﾀﾞￂﾢ,telehealthsolution.com,Mooresville,NC,United States,50,http://www.linkedin.com/company/telehealth-solution-pllc,2016,Hospital/Healthcare,8,13500000,1,,,,,,,https://www.growjo.com/company/TeleHealth_Solutionￃﾢ￢ﾀﾞￂﾢ,https://www.indeed.com/jobs?q=company%3A(TeleHealth Solutionￃﾢ￢ﾀﾞￂﾢ),72%,For Contact Direct Phone Numbers and Emails see Lead411
TCDI,tcdi.com,Greensboro,NC,United States,140,http://www.linkedin.com/company/tcdi,1988,Legal,739,37800000,1,,,,,,,https://www.growjo.com/company/TCDI,https://www.indeed.com/jobs?q=company%3A(TCDI),8%,For Contact Direct Phone Numbers and Emails see Lead411
Popeyes® Careers,pleaseapplyonline.com/pfc,Raleigh,NC,United States,424,http://www.linkedin.com/company/popeyescareers,,Restaurants,18,74200000,1,,,,,,,https://www.growjo.com/company/Popeyes®_Careers,https://www.indeed.com/jobs?q=company%3A(Popeyes® Careers),116%,For Contact Direct Phone Numbers and Emails see Lead411
Passport,passportinc.com,Charlotte,NC,United States,349,http://www.linkedin.com/company/passport-labs,2010,Fintech,9,45370000,10,saas,,,,,$123.5M,https://www.growjo.com/company/Passport,https://www.indeed.com/jobs?q=company%3A(Passport),6%,For Contact Direct Phone Numbers and Emails see Lead411
ExactlyIT Inc.,exactlyit.com,Durham,NC,United States,63,http://www.linkedin.com/company/exactlyit,2019,Tech Services,19,9135000,1,,,,,,,https://www.growjo.com/company/ExactlyIT_Inc.,https://www.indeed.com/jobs?q=company%3A(ExactlyIT Inc.),103%,For Contact Direct Phone Numbers and Emails see Lead411
Blue Moon Estate Sales USA,bluemoonestatesales.com,Fuquay-Varina,NC,United States,77,http://www.linkedin.com/company/blue-moon-estate-sales-usa,2009,Retail,822,17479000,1,,,,,,,https://www.growjo.com/company/Blue_Moon_Estate_Sales_USA,https://www.indeed.com/jobs?q=company%3A(Blue Moon Estate Sales USA),103%,For Contact Direct Phone Numbers and Emails see Lead411
Quantum 3 Media,quantum3media.com,Charlotte,NC,United States,85,http://www.linkedin.com/company/quantum-3-media,,Marketing,10,21250000,1,,,,,,,https://www.growjo.com/company/Quantum_3_Media,https://www.indeed.com/jobs?q=company%3A(Quantum 3 Media),102%,For Contact Direct Phone Numbers and Emails see Lead411
Atlantic Casualty Insurance Co.,atlanticcasualty.net,Goldsboro,NC,United States,143,http://www.linkedin.com/company/atlantic-casualty-insurance-co-,1983,Insurance,844,31460000,1,"Finance,Insurance",,,,,,https://www.growjo.com/company/Atlantic_Casualty_Insurance_Co.,https://www.indeed.com/jobs?q=company%3A(Atlantic Casualty Insurance Co.),16%,For Contact Direct Phone Numbers and Emails see Lead411
Contract Freighters,,Huntersville,NC,United States,81,http://www.linkedin.com/company/contract-freighters-inc,,Transportation,11,26568000,17,SaaS,,,,,,https://www.growjo.com/company/Contract_Freighters,https://www.indeed.com/jobs?q=company%3A(Contract Freighters),11%,For Contact Direct Phone Numbers and Emails see Lead411
ZynBit,zynbit.com,Raleigh,NC,United States,37,http://www.linkedin.com/company/zynbit,2015,Salestech,20,5365000,1,saas,,,,,$2.5M,https://www.growjo.com/company/ZynBit,https://www.indeed.com/jobs?q=company%3A(ZynBit),61%,For Contact Direct Phone Numbers and Emails see Lead411
Bandwidth,bandwidth.com,Raleigh,NC,United States,941,http://www.linkedin.com/company/bandwidth-inc,1999,Tech Services,21,204113000,35,saas,Portolan Capital Management,,,1500000000,$20.5M,https://www.growjo.com/company/Bandwidth,https://www.indeed.com/jobs?q=company%3A(Bandwidth),14%,For Contact Direct Phone Numbers and Emails see Lead411
Kevel,kevel.co,Durham,NC,,52,http://www.linkedin.com/company/kevelapi,2010,Martech,22,,1,saas,,,,,$12.2M,https://www.growjo.com/company/Kevel,https://www.indeed.com/jobs?q=company%3A(Kevel),58%,For Contact Direct Phone Numbers and Emails see Lead411
