company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Captable.io,ltse.com, San Francisco,CA ,United States,73,http://www.linkedin.com/company/the-long-term-stock-exchange,2015,Fintech,615,9490000,1,"Financial Services, Business Services, Payments, Consulting, Financial Exchanges, Startups, Stock Exchanges, Finance Technology",,,,,$69.4M,https://www.growjo.com/company/Captable.io,https://www.indeed.com/jobs?q=company%3A(Captable.io),46%,For Contact Direct Phone Numbers and Emails see Lead411
Cerebral,getcerebral.com,San Francisco,CA,United States,374,http://www.linkedin.com/company/getcerebral,2020,Digital Health,1,,112,"Healthcare, Mental Health, Telemedicine",,,,,$35M,https://www.growjo.com/company/Cerebral,https://www.indeed.com/jobs?q=company%3A(Cerebral),1000%,For Contact Direct Phone Numbers and Emails see Lead411
Covid Clinic,covidclinic.org,Huntington Beach,CA,United States,167,http://www.linkedin.com/company/covid-clinic,2020,Health,1,45090000,50,,,,,,,https://www.growjo.com/company/Covid_Clinic,https://www.indeed.com/jobs?q=company%3A(Covid Clinic),944%,For Contact Direct Phone Numbers and Emails see Lead411
Dascena,dascena.com,Oakland,CA,United States,227,http://www.linkedin.com/company/dascena,2014,Digital Health,1,8555000,40,Biotechnology,,,,,$50M,https://www.growjo.com/company/Dascena,https://www.indeed.com/jobs?q=company%3A(Dascena),711%,For Contact Direct Phone Numbers and Emails see Lead411
Tempo,tempo.fit,San Francisco,CA,United States,152,http://www.linkedin.com/company/tempofit,2015,Digital Health,2,13050000,20,,,,,,$298.8M,https://www.growjo.com/company/Tempo,https://www.indeed.com/jobs?q=company%3A(Tempo),463%,For Contact Direct Phone Numbers and Emails see Lead411
Deel,letsdeel.com,San Francisco,CA,United States,117,http://www.linkedin.com/company/deel,2018,HRTech,3,9030000,35,saas,"Andreessen Horowitz, Spark Capital, Y Combinator",,,1250000000,$204M,https://www.growjo.com/company/Deel,https://www.indeed.com/jobs?q=company%3A(Deel),432%,For Contact Direct Phone Numbers and Emails see Lead411
Fast,fast.co,San Francisco,CA,United States,148,http://www.linkedin.com/company/fast,2019,Fintech,4,19240000,44,saas,,,,,$124.5M,https://www.growjo.com/company/Fast,https://www.indeed.com/jobs?q=company%3A(Fast),348%,For Contact Direct Phone Numbers and Emails see Lead411
Carbon Health,carbonhealth.com,San Francisco,CA,United States,664,http://www.linkedin.com/company/carbon-health,2015,Digital Health,5,71010000,199,"Mobile, Healthcare, Health Care Information Technology, Technology, Mobile Health",,,,,$172.5M,https://www.growjo.com/company/Carbon_Health,https://www.indeed.com/jobs?q=company%3A(Carbon Health),361%,For Contact Direct Phone Numbers and Emails see Lead411
ClickUp,ClickUp.com,San Diego,CA,United States,220,http://www.linkedin.com/company/clickup-app,2016,ProductivityTech,1,12760000,11,saas,"Georgian Partners, Craft Ventures",,,1000000000,$137.5M,https://www.growjo.com/company/ClickUp,https://www.indeed.com/jobs?q=company%3A(ClickUp),279%,For Contact Direct Phone Numbers and Emails see Lead411
Kandji,kandji.io,San Diego,CA,United States,83,http://www.linkedin.com/company/kandji,2018,DevOps,2,,25,saas,,,,,$88.4M,https://www.growjo.com/company/Kandji,https://www.indeed.com/jobs?q=company%3A(Kandji),277%,For Contact Direct Phone Numbers and Emails see Lead411
Human Interest,humaninterest.com,San Francisco,CA,United States,282,http://www.linkedin.com/company/humaninterest,2015,Fintech,6,36660000,42,"saas, E-Commerce,Finance,Human Resources Hr",Wing Venture Capital,Y Combinator,B2B,,$136.7M,https://www.growjo.com/company/Human_Interest,https://www.indeed.com/jobs?q=company%3A(Human Interest),93%,For Contact Direct Phone Numbers and Emails see Lead411
Motiv Power Systems,motivps.com,Foster City,CA,United States,79,http://www.linkedin.com/company/motiv-power-systems,2009,Automotive,1,26070000,12,"saas, Automotive,Cleantech,Transportation,Wind Power",Blackhorn Ventures,,B2B,,$120.6M,https://www.growjo.com/company/Motiv_Power_Systems,https://www.indeed.com/jobs?q=company%3A(Motiv Power Systems),1%,For Contact Direct Phone Numbers and Emails see Lead411
Modern Health,joinmodernhealth.com,San Francisco,CA,United States,334,http://www.linkedin.com/company/modern-health,2017,Digital Health,7,24650000,36,saas,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund",,,1170000000,$167.4M,https://www.growjo.com/company/Modern_Health,https://www.indeed.com/jobs?q=company%3A(Modern Health),174%,For Contact Direct Phone Numbers and Emails see Lead411
Chipper Cash,chippercash.com,San Francisco,CA,United States,108,http://www.linkedin.com/company/chippercash,2017,Fintech,8,14040000,7,,,,,,$52.2M,https://www.growjo.com/company/Chipper_Cash,https://www.indeed.com/jobs?q=company%3A(Chipper Cash),209%,For Contact Direct Phone Numbers and Emails see Lead411
Finix,finixpayments.com,San Francisco,CA,United States,115,http://www.linkedin.com/company/finix-payments,2016,Fintech,9,14950000,24,saas,,,,,$96M,https://www.growjo.com/company/Finix,https://www.indeed.com/jobs?q=company%3A(Finix),44%,For Contact Direct Phone Numbers and Emails see Lead411
Deliverr,deliverr.com,San Francisco,CA,United States,183,http://www.linkedin.com/company/deliverr-inc,2017,Tech Services,10,26535000,55,"Logistics, Ecommerce",,,,,$240.9M,https://www.growjo.com/company/Deliverr,https://www.indeed.com/jobs?q=company%3A(Deliverr),120%,For Contact Direct Phone Numbers and Emails see Lead411
Medable,medable.com,Palo Alto,CA,United States,263,http://www.linkedin.com/company/medable-inc-,2012,Digital Health,2,21605000,60,"saas, Data Storage,Enterprise Software,Health It,Healthcare,Human Resources Hr,Information Security,Marketing,Mobile,Pharmaceuticals,Security,Storage",,,B2B,,$202.6M,https://www.growjo.com/company/Medable,https://www.indeed.com/jobs?q=company%3A(Medable),112%,For Contact Direct Phone Numbers and Emails see Lead411
Landing,hellolanding.com,San Francisco,CA,United States,262,http://www.linkedin.com/company/hellolanding,2019,Tech Services,11,37990000,79,saas,,,,,$145M,https://www.growjo.com/company/Landing,https://www.indeed.com/jobs?q=company%3A(Landing),205%,For Contact Direct Phone Numbers and Emails see Lead411
Sourcegraph,sourcegraph.com,San Francisco,CA,United States,118,http://www.linkedin.com/company/sourcegraph,2013,DevOps,12,8700000,33,saas,,,,,$98M,https://www.growjo.com/company/Sourcegraph,https://www.indeed.com/jobs?q=company%3A(Sourcegraph),258%,For Contact Direct Phone Numbers and Emails see Lead411
BrightInsight,brightinsight.com,San Jose,CA,United States,186,http://www.linkedin.com/company/brightinsight-inc,2017,Digital Health,3,16530000,41,saas,,,,,$166M,https://www.growjo.com/company/BrightInsight,https://www.indeed.com/jobs?q=company%3A(BrightInsight),119%,For Contact Direct Phone Numbers and Emails see Lead411
Lacework,lacework.com,Mountain View,CA,United States,391,http://www.linkedin.com/company/lacework,2015,IT Security,4,79764000,34,saas,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",,,1000000000,$599M,https://www.growjo.com/company/Lacework,https://www.indeed.com/jobs?q=company%3A(Lacework),229%,For Contact Direct Phone Numbers and Emails see Lead411
Substack,substack.com,San Francisco,CA,United States,104,http://www.linkedin.com/company/substack,2017,Media,13,21320000,9,"E-Commerce, Email Newsletters, Journalism",,,,,$82.4M,https://www.growjo.com/company/Substack,https://www.indeed.com/jobs?q=company%3A(Substack),352%,For Contact Direct Phone Numbers and Emails see Lead411
Postscript,postscript.io,San Francisco,CA,United States,76,http://www.linkedin.com/company/postscriptio,2018,Martech,14,11020000,23,saas,,,,,$41.2M,https://www.growjo.com/company/Postscript,https://www.indeed.com/jobs?q=company%3A(Postscript),245%,For Contact Direct Phone Numbers and Emails see Lead411
Sidecar Health,sidecarhealth.com,El Segundo,CA,United States,77,http://www.linkedin.com/company/sidecarhealth,2018,Digital Health,1,10780000,1,,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",,,1000000000,$163M,https://www.growjo.com/company/Sidecar_Health,https://www.indeed.com/jobs?q=company%3A(Sidecar Health),126%,For Contact Direct Phone Numbers and Emails see Lead411
Weee!,sayweee.com,Sunnyvale,CA,United States,198,http://www.linkedin.com/company/weee-,2015,Retail,5,44946000,59,"E-Commerce, Food and Beverages, Mobile Commerce, Social Commerce, Groceries, Local Services","Goodwater Capital, iFly, XVC Venture Capital",,,2800000000,$398.8M,https://www.growjo.com/company/Weee!,https://www.indeed.com/jobs?q=company%3A(Weee!),98%,For Contact Direct Phone Numbers and Emails see Lead411
Kind Lending,kindlending.com,Santa Ana,CA,United States,167,http://www.linkedin.com/company/kindlending,2020,Finance,2,35070000,1,,,,,,,https://www.growjo.com/company/Kind_Lending,https://www.indeed.com/jobs?q=company%3A(Kind Lending),422%,For Contact Direct Phone Numbers and Emails see Lead411
Oigetit,Oigetit.com,Sunnyvale ,CA,United States,175,http://www.linkedin.com/company/oigetit-com,2014,Tech Services,6,25375000,10,,,,,,,https://www.growjo.com/company/Oigetit,https://www.indeed.com/jobs?q=company%3A(Oigetit),415%,For Contact Direct Phone Numbers and Emails see Lead411
