company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Eastern Energy Services,eastern-tools.com,Laurel,MS,United States,85,http://www.linkedin.com/company/eastern-energy-services-inc,1993,Energy/Oil,608,20825000,1,,,,,,,https://www.growjo.com/company/Eastern_Energy_Services,https://www.indeed.com/jobs?q=company%3A(Eastern Energy Services),118%,For Contact Direct Phone Numbers and Emails see Lead411
United Furniture Industries,lanefurniture.com,Tupelo,MS,United States,68,http://www.linkedin.com/company/united-furniture-industries,1983,Furniture,1086,19516000,1,,,,,,,https://www.growjo.com/company/United_Furniture_Industries,https://www.indeed.com/jobs?q=company%3A(United Furniture Industries),89%,For Contact Direct Phone Numbers and Emails see Lead411
Merchants & Marine Bank (M&M Bank),mandmbank.com,Pascagoula,MS,United States,73,http://www.linkedin.com/company/mandmbank,1932,Banking,1425,15330000,1,,,,,,,https://www.growjo.com/company/Merchants_&_Marine_Bank_(M&M_Bank),https://www.indeed.com/jobs?q=company%3A(Merchants & Marine Bank (M&M Bank)),20%,For Contact Direct Phone Numbers and Emails see Lead411
BancPlus Corporation,bankplus.net,Belzoni,MS,United States,561,http://www.linkedin.com/company/bankplus,1909,Banking,1682,117810000,1,,,,,,,https://www.growjo.com/company/BancPlus_Corporation,https://www.indeed.com/jobs?q=company%3A(BancPlus Corporation),9%,For Contact Direct Phone Numbers and Emails see Lead411
VT Halter Marine,vthm.com,Pascagoula,MS,United States,555,http://www.linkedin.com/company/vt-halter-marine,,Shipbuilding,2233,,1,,,,,,,https://www.growjo.com/company/VT_Halter_Marine,https://www.indeed.com/jobs?q=company%3A(VT Halter Marine),21%,For Contact Direct Phone Numbers and Emails see Lead411
Peterbilt Truck Centers,peterbilttruckcenters.com,Pearl,MS,United States,96,http://www.linkedin.com/company/peterbilt-truck-centers,1992,Transportation,2543,31488000,1,,,,,,,https://www.growjo.com/company/Peterbilt_Truck_Centers,https://www.indeed.com/jobs?q=company%3A(Peterbilt Truck Centers),50%,For Contact Direct Phone Numbers and Emails see Lead411
First Commercial Bank,firstcommercialbk.com,Jackson,MS,United States,59,http://www.linkedin.com/company/first-commercial-bank-ms,2000,Banking,2781,12390000,1,,,,,,,https://www.growjo.com/company/First_Commercial_Bank,https://www.indeed.com/jobs?q=company%3A(First Commercial Bank),64%,For Contact Direct Phone Numbers and Emails see Lead411
Southern Electric Corporation of MS,secofms.com,Flowood,MS,United States,42,http://www.linkedin.com/company/southern-electric-corporation-of-ms,1985,Utilities,2846,9240000,1,,,,,,,https://www.growjo.com/company/Southern_Electric_Corporation_of_MS,https://www.indeed.com/jobs?q=company%3A(Southern Electric Corporation of MS),62%,For Contact Direct Phone Numbers and Emails see Lead411
Dobbs Peterbilt,dobbspeterbilt.com,Pearl,MS,United States,88,http://www.linkedin.com/company/dobbspeterbilt,,Transportation,3000,28864000,1,,,,,,,https://www.growjo.com/company/Dobbs_Peterbilt,https://www.indeed.com/jobs?q=company%3A(Dobbs Peterbilt),42%,For Contact Direct Phone Numbers and Emails see Lead411
Gulf Relay,gulfrelay.com,Clinton,MS,United States,113,http://www.linkedin.com/company/gulfrelay,2010,Logistics,3707,34465000,1,,,,,,,https://www.growjo.com/company/Gulf_Relay,https://www.indeed.com/jobs?q=company%3A(Gulf Relay),35%,For Contact Direct Phone Numbers and Emails see Lead411
