,Date,Open,High,Low,Close,Volume
0,2013-10-08,12.884,23.837,12.884,23.781,11191
1,2013-10-10,25.77,26.689,25.77,26.689,1315
2,2013-10-11,23.006,23.006,13.841,13.841,2370
3,2013-10-15,13.622,13.622,13.622,13.622,216
4,2013-10-16,12.249,12.249,12.249,12.249,116
5,2013-10-18,10.953,10.953,10.953,10.953,194
6,2013-10-21,11.891,11.891,11.891,11.891,332
7,2013-10-22,11.507,11.507,11.507,11.507,116
8,2013-10-23,11.507,12.884,11.043,12.884,882
9,2013-10-31,12.186,12.195,12.186,12.195,1847
10,2013-11-01,12.791,12.791,12.791,12.791,160
11,2013-11-05,11.964,12.057,11.964,12.057,498
12,2013-11-06,12.011,12.011,12.011,12.011,763
13,2013-11-07,11.643,11.732,10.768,11.732,2175
14,2013-11-08,11.77,11.964,11.77,11.964,513
15,2013-11-11,11.964,11.964,11.964,11.964,1084
16,2013-11-12,11.964,12.057,11.964,12.057,792
17,2013-11-18,12.011,12.011,12.011,12.011,389
18,2013-11-19,12.011,12.092,12.011,12.092,650
19,2013-11-20,12.092,12.092,11.964,11.964,1630
20,2013-11-22,11.964,11.964,11.964,11.964,116
21,2013-11-27,12.148,12.148,12.148,12.148,1304
22,2013-11-29,11.945,11.945,11.945,11.945,176
23,2013-12-02,12.148,12.186,12.148,12.186,3041
24,2013-12-03,12.057,12.057,11.846,11.846,481
25,2013-12-10,12.424,12.424,12.424,12.424,608
26,2013-12-11,12.296,12.296,12.296,12.296,116
27,2013-12-17,12.451,12.451,12.451,12.451,320
28,2013-12-20,12.98,12.98,12.98,12.98,788
29,2013-12-31,13.554,13.61,13.554,13.61,434
30,2014-01-10,13.175,13.175,13.175,13.175,380
31,2014-01-16,12.961,12.961,12.961,12.961,329
32,2014-01-17,13.008,13.008,12.851,12.851,788
33,2014-01-21,11.221,13.22,11.221,13.063,1959
34,2014-02-06,12.498,12.498,12.434,12.434,432
35,2014-02-10,13.147,13.887,13.147,13.147,215
36,2014-02-20,13.102,13.102,12.869,12.869,546
37,2014-02-25,13.055,13.055,13.055,13.055,115
38,2014-02-28,13.396,13.638,13.295,13.581,1790
39,2014-03-17,12.99,12.99,12.99,12.99,129
40,2014-03-21,13.41,13.41,12.971,13.037,2431
41,2014-03-24,12.888,12.99,12.888,12.962,1212
42,2014-03-26,13.037,13.037,13.037,13.037,428
