company_name,url,city,state,country,employees,linkedin_url,founded,Industry,GrowjoRanking,Previous Ranking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Hopin,hopin.to,London,,UK,429,https://www.linkedin.com/company/hopinofficial,2019,Event Tech,1,,,90,saas,"Accel, Northzone Ventures, Institutional Venture Partners",,B2B,5650000000,$571.4M,https://www.growjo.com/company/Hopin,https://www.indeed.com/jobs?q=company%3A(Hopin),973%,For Contact Direct Phone Numbers and Emails see Lead411
Cerebral,getcerebral.com,San Francisco,CA,United States,374,http://www.linkedin.com/company/getcerebral,2020,Digital Health,2,,,112,"Healthcare, Mental Health, Telemedicine",,,,,$35M,https://www.growjo.com/company/Cerebral,https://www.indeed.com/jobs?q=company%3A(Cerebral),1000%,For Contact Direct Phone Numbers and Emails see Lead411
Covid Clinic,covidclinic.org,Huntington Beach,CA,United States,167,http://www.linkedin.com/company/covid-clinic,2020,Health,3,,45090000,50,,,,,,,https://www.growjo.com/company/Covid_Clinic,https://www.indeed.com/jobs?q=company%3A(Covid Clinic),944%,For Contact Direct Phone Numbers and Emails see Lead411
Upkey,upkey.com,Chicago,IL,United States,298,http://www.linkedin.com/company/upkey,2016,EdTech,4,,,2,saas,,,,,$3M,https://www.growjo.com/company/Upkey,https://www.indeed.com/jobs?q=company%3A(Upkey),776%,For Contact Direct Phone Numbers and Emails see Lead411
Airmeet,airmeet.com,Bangalore,,India,232,http://www.linkedin.com/company/airmeetcom,,Event Tech,5,,,25,saas,,,,,,https://www.growjo.com/company/Airmeet,https://www.indeed.com/jobs?q=company%3A(Airmeet),828%,For Contact Direct Phone Numbers and Emails see Lead411
AppHarvest,AppHarvest.com,Morehead,KY,United States,128,http://www.linkedin.com/company/appharvest,2017,Farming,6,44,,24,,,,,,$191.3M,https://www.growjo.com/company/AppHarvest,https://www.indeed.com/jobs?q=company%3A(AppHarvest),510%,For Contact Direct Phone Numbers and Emails see Lead411
Dascena,dascena.com,Oakland,CA,United States,227,http://www.linkedin.com/company/dascena,2014,Digital Health,7,1096,8555000,40,Biotechnology,,,,,$50M,https://www.growjo.com/company/Dascena,https://www.indeed.com/jobs?q=company%3A(Dascena),711%,For Contact Direct Phone Numbers and Emails see Lead411
Circa Resort and Casino Las Vegas,circalasvegas.com,Las Vegas,NV,United States,242,http://www.linkedin.com/company/circa-resort-casino-las-vegas,2019,Hospitality,8,833,61468000,1,,,,,,,https://www.growjo.com/company/Circa_Resort_and_Casino_Las_Vegas,https://www.indeed.com/jobs?q=company%3A(Circa Resort and Casino Las Vegas),796%,For Contact Direct Phone Numbers and Emails see Lead411
Tempo,tempo.fit,San Francisco,CA,United States,152,http://www.linkedin.com/company/tempofit,2015,Digital Health,9,17,13050000,20,,,,,,$298.8M,https://www.growjo.com/company/Tempo,https://www.indeed.com/jobs?q=company%3A(Tempo),463%,For Contact Direct Phone Numbers and Emails see Lead411
BlockFi,blockfi.com,New York,NY,United States,505,http://www.linkedin.com/company/blockfi,2017,Fintech,10,1,65650000,100,saas,"ConsenSys Ventures, Valar Ventures, PUC",,,3000000000,$508.7M,https://www.growjo.com/company/BlockFi,https://www.indeed.com/jobs?q=company%3A(BlockFi),410%,For Contact Direct Phone Numbers and Emails see Lead411
