,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name
714,CA,37.2690782,-121.9559995,95008,c:16181,Campbell,Campbell CA 95008,ONStor,1,1/1/2000,Still Operating,6/2/2005,4/18/2008,5.4219,8.3014,8.0055,8.0055,6,3,65800000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:16181,1,0,0,0,0,1,4.6667,1,acquired,onstor
715,NJ,40.477604,-74.626824,8844,c:173118,Hillsborough,Hillsborough NJ 8844,Relationship Analytics,0,8/1/2012,8/1/2013,4/5/2013,5/16/2013,0.6767,0.789,0.0,0.0,2,2,125000,1,NJ,0,0,0,0,1,analytics,0,0,0,0,0,0,0,0,0,1,c:173118,0,1,0,0,0,0,1.0,0,closed,relationship analytics
716,VA,39.050108,-77.40082,20165,c:1607,Potomac Falls,Potomac Falls VA 20165,Summize,1,11/1/2006,Still Operating,6/1/2007,6/1/2007,0.5808,0.5808,-0.5041,3.8301,5,1,750000,3,VA,0,0,0,0,1,search,0,0,0,0,0,0,0,0,0,1,c:1607,0,1,0,0,0,0,2.0,1,acquired,summize
717,GA,33.749099,-84.390185,30305,c:78759,Atlanta,Atlanta GA 30305,JouleX,1,1/1/2009,Still Operating,6/10/2011,6/10/2011,2.4384,2.4384,2.3288,2.4384,10,1,17000000,2,GA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:78759,1,0,0,0,0,0,5.0,1,acquired,joulex
718,CA,37.54841500000001,-122.315636,94403,c:3562,San Mateo,San Mateo CA 94403,Etelos,0,5/1/1999,1/1/2013,9/30/2009,5/29/2012,10.4247,13.0877,8.9808,12.7233,4,3,4087500,3,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:3562,1,1,0,0,0,0,1.0,0,closed,etelos
719,CA,34.491118,-119.808096,93105,c:38655,Santa Barbara,Santa Barbara CA 93105,Make It Work,0,1/1/1995,6/1/2012,11/15/2005,11/15/2005,10.8795,10.8795,15.4986,15.4986,3,1,1000000,1,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:38655,0,0,1,0,0,0,2.0,1,closed,make it work
720,TX,30.280148,-97.749908,78701,c:52406,Austin,Austin TX 78701,MapMyFitness,1,2/8/2007,Still Operating,1/1/2007,6/19/2013,-0.1041,6.3644,5.4822,6.7699,13,5,23500000,3,TX,0,0,0,1,0,health,0,0,0,0,0,0,0,0,0,1,c:52406,1,0,1,1,1,0,1.75,1,acquired,mapmyfitness
721,CA,37.7776778,-122.3921102,94107,c:2178,San Francisco,San Francisco CA 94107,What They Like,0,8/29/2007,10/21/2011,8/29/2007,8/29/2007,0.0,0.0,3.0553530479896267,4.754422568093387,2,1,990000,0,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:2178,0,0,1,0,0,0,2.0,0,closed,what they like
722,AZ,33.426418,-111.9396,85281,c:10864,Tempe,Tempe AZ 85281,FetchBack,1,4/1/2007,Still Operating,1/1/2008,1/1/2008,0.7534,0.7534,3.1699,4.6247,13,1,1000000,2,AZ,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,c:10864,0,0,1,0,0,0,3.0,1,acquired,fetchback
723,MA,42.364367,-71.078978,2142,c:934,Cambridge,Cambridge MA 2142,Sermo,1,1/1/2006,Still Operating,9/1/2006,2/17/2011,0.6658,5.1315,2.7479,6.0027,15,4,41000000,2,MA,0,0,1,0,0,health,0,0,0,0,0,0,0,0,0,1,c:934,1,0,1,1,1,0,1.75,1,acquired,sermo
