,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name
510,TX,31.5682893,-97.1973664,76710,c:16973,Waco,Waco TX 76710,IonLogix Systems,0,12/11/2007,2/2/2011,10/24/2008,10/24/2008,0.8712,0.8712,3.0553530479896267,4.754422568093387,1,1,30000,0,TX,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,c:16973,0,1,0,0,0,0,1.0,0,closed,ionlogix systems
511,CA,37.386778,-121.966277,95054,c:47689,Santa Clara,Santa Clara CA 95054,Atrica,0,1/1/2000,12/13/2007,4/5/2006,4/5/2006,6.263,6.263,6.0055,6.0055,10,1,22200000,1,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:47689,0,0,0,0,0,0,9.0,1,closed,atrica
512,CO,40.0186731,-105.2762236,80302,c:459,Boulder,Boulder CO 80302,Socialthing,1,5/18/2007,Still Operating,8/1/2007,10/23/2007,0.2055,0.4329,0.4685,2.9507,6,2,415000,2,CO,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:459,0,1,0,0,0,0,1.0,1,acquired,socialthing
513,NY,40.743808,-73.983626,10010,c:3094,New York,New York NY 10010,Next New Networks,1,3/1/2007,Still Operating,1/1/2007,12/29/2010,-0.1616,3.8329,3.0027,4.7014,16,4,27063781,4,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:3094,0,0,1,1,1,0,3.5,1,acquired,next new networks
514,CA,34.394343,-119.51231,93013,c:12468,Carpinteria,Carpinteria CA 93013,AdECN,1,1/1/2003,Still Operating,2/1/2006,2/1/2006,3.0877,3.0877,5.0027,5.0027,6,1,3100000,1,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:12468,0,0,1,0,0,0,5.0,1,acquired,adecn
515,CA,37.451124,-122.16626399999998,94025,c:856,Menlo Park,Menlo Park CA 94025,Cuil,0,1/1/2005,9/1/2010,3/1/2007,4/15/2008,2.1616,3.2877,3.4986,7.6904,13,2,33000000,4,CA,0,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,c:856,0,0,1,1,0,0,2.5,1,closed,cuil
516,CA,37.430025,-122.09998,94043,c:16276,Mountain View,Mountain View CA 94043,Sensory Networks,1,1/1/2003,Still Operating,10/10/2005,1/1/2008,2.7753,5.0027,4.1644,10.7534,2,3,17400000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:16276,1,0,0,0,1,0,5.0,1,acquired,sensory networks
517,CA,37.491356,-122.228843,94025,c:410,Menlo Park,Menlo Park CA 94025,Flock,1,1/1/2005,Still Operating,1/1/2005,5/21/2008,0.0,3.3863,5.3973,8.7123,17,5,28300000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:410,0,1,1,1,1,1,2.0,1,acquired,flock
518,CA,37.563585,-122.324621,94043,c:726,Mountain View,Mountain View CA 94043,AdMob,1,12/1/2006,Still Operating,9/1/2006,1/29/2009,-0.2493,2.1644,1.411,6.537000000000001,42,4,46800000,6,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:726,0,0,1,1,1,0,2.5,1,acquired,admob
519,IL,41.879535,-87.624333,60654,c:8573,Chicago,Chicago IL 60654,FeeFighters,1,1/1/2009,Still Operating,5/1/2010,1/12/2011,1.3288,2.0301,2.0,2.0301,5,3,1525000,2,IL,0,0,0,0,1,ecommerce,0,0,0,0,0,0,1,0,0,0,c:8573,0,1,0,0,0,0,2.6667,1,acquired,feefighters
520,NY,40.730646,-73.986614,10010,c:102867,New York City,New York City NY 10010,WeHostels,1,11/15/2011,Still Operating,3/18/2012,3/18/2012,0.3397,0.3397,0.5452,1.7151,9,1,1200000,3,NY,0,1,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,c:102867,0,1,0,0,0,0,5.0,1,acquired,wehostels
521,CA,37.391642,-122.09393500000002,94040,c:431,Mountain View,Mountain View CA 94040,TimeBridge,1,5/1/2005,Still Operating,7/5/2005,5/11/2009,0.1781,4.0301,3.674,7.2438,6,3,12400000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:431,1,0,1,1,0,0,1.6667,1,acquired,timebridge
522,PA,39.959721,-75.605964,19380,c:60516,West Chester,West Chester PA 19380,Lazarus Therapeutics,0,1/1/2006,2/1/2012,8/2/2010,8/2/2010,4.5863,4.5863,3.0553530479896267,4.754422568093387,1,1,100000,0,PA,0,0,0,0,1,biotech,0,0,0,0,0,0,0,1,0,0,c:60516,1,0,0,0,0,0,1.0,1,closed,lazarus therapeutics
523,CA,37.779281,-122.419236,94105,c:43832,San Francisco,San Francisco CA 94105,Loyalty Lab,1,1/1/2003,Still Operating,3/22/2005,4/29/2010,2.2219,7.3288,7.0055,7.0055,4,3,11000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:43832,1,1,0,1,0,0,1.6667,1,acquired,loyalty lab
524,TN,36.16223,-86.774353,37201,c:83142,Nashville,Nashville TN 37201,RentStuff.com,1,1/1/2010,Still Operating,5/5/2011,4/12/2012,1.3397,2.2795,1.0,1.0,3,2,675000,1,TN,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:83142,0,1,0,0,0,0,1.5,0,acquired,rentstuff.com
525,CA,37.3725243,-122.035963,94086,c:9669,Sunnyvale,Sunnyvale CA 94086,ZManda,1,1/1/2005,Still Operating,1/1/2005,5/22/2007,0.0,2.3863,3.0553530479896267,4.754422568093387,5,2,13000000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:9669,0,0,1,1,0,0,2.5,1,acquired,zmanda
526,NY,40.728425,-73.999882,10012,c:62802,New York,New York NY 10012,Jumo,1,2/1/2010,Still Operating,11/1/2010,11/1/2010,0.7479,0.7479,1.0329,2.4986,5,1,3500000,2,NY,0,1,0,0,0,social,0,0,0,0,0,0,0,0,0,1,c:62802,0,0,0,0,0,0,2.0,1,acquired,jumo
